name,points,challenges
W&M,4301.36,"{'challenge_name': ['ezFPGA', 'master of movie', 'signin', 'QQQRcode', 'AFL sandbox', 'arandom', 'only read', 'not so web 1', 'not so web 2', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Reverse', 'Misc', 'Misc', 'Misc', 'Pwn', 'Pwn', 'Pwn', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['487', '384', '56', '400', '606', '606', '526', '240', '408', '408', '144']}"
Scr1w,4293.24,"{'challenge_name': ['ezFPGA', 'master of movie', 'Hard guess', 'signin', 'QQQRcode', 'AAALLL', 'only read', 'not so web 1', 'not so web 2', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Reverse', 'Misc', 'Misc', 'Misc', 'Misc', 'Crypto', 'Pwn', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['487', '384', '476', '56', '400', '740', '526', '240', '408', '408', '144']}"
楼上请让路*,4274.4,"{'challenge_name': ['ezFPGA', 'master of movie', 'Hard guess', 'signin', 'QQQRcode', 'arandom', 'not so web 1', 'not so web 2', 'eznote', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Reverse', 'Misc', 'Misc', 'Misc', 'Misc', 'Pwn', 'Web', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['487', '384', '476', '56', '400', '606', '240', '408', '645', '408', '144']}"
0x401 Team,4266.68,"{'challenge_name': ['ezFPGA', 'master of movie', 'signin', 'QQQRcode', 'AFL sandbox', 'arandom', 'only read', 'not so web 1', 'not so web 2', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Reverse', 'Misc', 'Misc', 'Misc', 'Pwn', 'Pwn', 'Pwn', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['487', '384', '56', '400', '606', '606', '526', '240', '408', '408', '144']}"
ukfc,4153.18,"{'challenge_name': ['ezFPGA', 'master of movie', 'Hard guess', 'signin', 'QQQRcode', 'AFL sandbox', 'only read', 'not so web 1', 'not so web 2', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Reverse', 'Misc', 'Misc', 'Misc', 'Misc', 'Pwn', 'Pwn', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['487', '384', '476', '56', '400', '606', '526', '240', '408', '408', '144']}"
Arr3stY0u,4105.99,"{'challenge_name': ['deeptx', 'ezFPGA', 'master of movie', 'Hard guess', 'signin', 'not so web 1', 'not so web 2', 'eznote', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Reverse', 'Reverse', 'Misc', 'Misc', 'Misc', 'Web', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['833', '487', '384', '476', '56', '240', '408', '645', '408', '144']}"
HASHTEAM,3885,"{'challenge_name': ['master of movie', 'Hard guess', 'signin', 'QQQRcode', 'easy_log', 'AFL sandbox', 'only read', 'not so web 1', 'not so web 2', 'ACTF upload'], 'challenge_category': ['Misc', 'Misc', 'Misc', 'Misc', 'Crypto', 'Pwn', 'Pwn', 'Web', 'Web', 'Web'], 'challenge_points': ['384', '476', '56', '400', '645', '606', '526', '240', '408', '144']}"
L,3853,"{'challenge_name': ['signin', 'easy_log', 'AAALLL', 'AFL sandbox', 'arandom', 'not so web 1', 'not so web 2', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Misc', 'Crypto', 'Crypto', 'Pwn', 'Pwn', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['56', '645', '740', '606', '606', '240', '408', '408', '144']}"
Lilac,3687,"{'challenge_name': ['master of movie', 'Hard guess', 'signin', 'QQQRcode', 'easy_log', 'only read', 'not so web 1', 'not so web 2', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Misc', 'Misc', 'Misc', 'Misc', 'Crypto', 'Pwn', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['384', '476', '56', '400', '645', '526', '240', '408', '408', '144']}"
Venom,3161,"{'challenge_name': ['master of movie', 'Hard guess', 'signin', 'QQQRcode', 'not so web 1', 'not so web 2', 'eznote', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Misc', 'Misc', 'Misc', 'Misc', 'Web', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['384', '476', '56', '400', '240', '408', '645', '408', '144']}"
