name,points,challenge
SUSH1st,2550,"{'challenge_name': ['debugapwner', 'r2uwu2s-resort', 'diceon', 'bad-chess-challenge', 'survey', 'dicetok', 'nonograms', 'oño', 'debugalyzer', 'pyramid', 'fairy-ring', 'dicecap', 'satisfied', 'winxy-pistol', 'vorpal-sword', 'cookie-recipes-v3', 'bcu-binding', 'welcome'], 'challenge_category': ['pwn', 'pwn', 'misc', 'web', 'misc', 'rev', 'rev', 'rev', 'rev', 'web', 'crypto', 'misc', 'crypto', 'crypto', 'crypto', 'web', 'misc', 'misc'], 'challenge_points': ['177', '155', '233', '200', '1', '175', '155', '151', '125', '138', '300', '112', '146', '148', '122', '105', '106', '1'], 'solve_time': ['1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
FluxFingers,2532,"{'challenge_name': ['oboe', 'old-site-b-side', 'fairy-ring', 'pyramid', 'nobin', 'glail', 'r2uwu2s-resort', 'satisfied', 'winxy-pistol', 'oño', 'dicetok', 'vorpal-sword', 'dicecap', 'cookie-recipes-v3', 'bcu-binding', 'welcome'], 'challenge_category': ['pwn', 'web', 'crypto', 'web', 'web', 'misc', 'pwn', 'crypto', 'crypto', 'rev', 'rev', 'crypto', 'misc', 'web', 'misc', 'misc'], 'challenge_points': ['214', '285', '300', '138', '165', '209', '155', '146', '148', '151', '175', '122', '112', '105', '106', '1'], 'solve_time': ['1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago']}"
Superflat,2509,"{'challenge_name': ['nonograms', 'oño', 'dicetok', 'bcu-translation', 'survey', 'dicecap', 'bcu-transcription', 'glail', 'pyramid', 'satisfied', 'debugapwner', 'welcome', 'debugalyzer', 'bcu-binding', 'winxy-pistol', 'vorpal-sword', 'cookie-recipes-v3'], 'challenge_category': ['rev', 'rev', 'rev', 'rev', 'misc', 'misc', 'rev', 'misc', 'web', 'crypto', 'pwn', 'misc', 'rev', 'misc', 'crypto', 'crypto', 'web'], 'challenge_points': ['155', '151', '175', '367', '1', '112', '271', '209', '138', '146', '177', '1', '125', '106', '148', '122', '105'], 'solve_time': ['1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
jinmo123,2448,"{'challenge_name': ['survey', 'welcome', 'r2uwu2s-resort', 'oño', 'dicepass', 'bad-chess-challenge', 'vorpal-sword', 'pyramid', 'dicecap', 'golden-bridge', 'glail', 'debugapwner', 'cookie-recipes-v3', 'debugalyzer', 'bcu-binding', 'dicetok'], 'challenge_category': ['misc', 'misc', 'pwn', 'rev', 'web', 'web', 'crypto', 'web', 'misc', 'misc', 'misc', 'pwn', 'web', 'rev', 'misc', 'rev'], 'challenge_points': ['1', '1', '155', '151', '400', '200', '122', '138', '112', '271', '209', '177', '105', '125', '106', '175'], 'solve_time': ['2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
The Flat Network Society,2415,"{'challenge_name': ['diceon', 'r2uwu2s-resort', 'survey', 'debugapwner', 'nobin', 'bad-chess-challenge', 'dicetok', 'nonograms', 'satisfied', 'vorpal-sword', 'winxy-pistol', 'oño', 'pyramid', 'dicecap', 'debugalyzer', 'cookie-recipes-v3', 'welcome', 'bcu-binding'], 'challenge_category': ['misc', 'pwn', 'misc', 'pwn', 'web', 'web', 'rev', 'rev', 'crypto', 'crypto', 'crypto', 'rev', 'web', 'misc', 'rev', 'web', 'misc', 'misc'], 'challenge_points': ['233', '155', '1', '177', '165', '200', '175', '155', '146', '122', '148', '151', '138', '112', '125', '105', '1', '106'], 'solve_time': ['1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
TRX,2396,"{'challenge_name': ['dicetok', 'debugapwner', 'survey', 'bad-chess-challenge', 'nonograms', 'oño', 'debugalyzer', 'r2uwu2s-resort', 'pyramid', 'nobin', 'winxy-pistol', 'vorpal-sword', 'oboe', 'satisfied', 'dicecap', 'cookie-recipes-v3', 'bcu-binding', 'welcome'], 'challenge_category': ['rev', 'pwn', 'misc', 'web', 'rev', 'rev', 'rev', 'pwn', 'web', 'web', 'crypto', 'crypto', 'pwn', 'crypto', 'misc', 'web', 'misc', 'misc'], 'challenge_points': ['175', '177', '1', '200', '155', '151', '125', '155', '138', '165', '148', '122', '214', '146', '112', '105', '106', '1'], 'solve_time': ['1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
gimel,2367,"{'challenge_name': ['bcu-transcription', 'bad-chess-challenge', 'debugalyzer', 'oboe', 'debugapwner', 'nonograms', 'nobin', 'r2uwu2s-resort', 'locked-room', 'pyramid', 'dicecap', 'bcu-binding', 'cookie-recipes-v3', 'welcome'], 'challenge_category': ['rev', 'web', 'rev', 'pwn', 'pwn', 'rev', 'web', 'pwn', 'pwn', 'web', 'misc', 'misc', 'web', 'misc'], 'challenge_points': ['271', '200', '125', '214', '177', '155', '165', '155', '443', '138', '112', '106', '105', '1'], 'solve_time': ['1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago']}"
Super Guesser,2226,"{'challenge_name': ['glail', 'bad-chess-challenge', 'survey', 'debugapwner', 'dicetok', 'nonograms', 'oño', 'r2uwu2s-resort', 'satisfied', 'winxy-pistol', 'pyramid', 'vorpal-sword', 'dicecap', 'debugalyzer', 'cookie-recipes-v3', 'bcu-binding', 'welcome'], 'challenge_category': ['misc', 'web', 'misc', 'pwn', 'rev', 'rev', 'rev', 'pwn', 'crypto', 'crypto', 'web', 'crypto', 'misc', 'rev', 'web', 'misc', 'misc'], 'challenge_points': ['209', '200', '1', '177', '175', '155', '151', '155', '146', '148', '138', '122', '112', '125', '105', '106', '1'], 'solve_time': ['1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
BunkyoWesterns,2016,"{'challenge_name': ['survey', 'r2uwu2s-resort', 'winxy-pistol', 'nonograms', 'nobin', 'oño', 'glail', 'pyramid', 'debugapwner', 'satisfied', 'debugalyzer', 'dicecap', 'vorpal-sword', 'cookie-recipes-v3', 'bcu-binding', 'welcome'], 'challenge_category': ['misc', 'pwn', 'crypto', 'rev', 'web', 'rev', 'misc', 'web', 'pwn', 'crypto', 'rev', 'misc', 'crypto', 'web', 'misc', 'misc'], 'challenge_points': ['1', '155', '148', '155', '165', '151', '209', '138', '177', '146', '125', '112', '122', '105', '106', '1'], 'solve_time': ['1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
${cystick},1984,"{'challenge_name': ['survey', 'fairy-ring', 'dicecap', 'debugalyzer', 'nonograms', 'oño', 'nobin', 'glail', 'pyramid', 'winxy-pistol', 'satisfied', 'vorpal-sword', 'cookie-recipes-v3', 'bcu-binding', 'welcome'], 'challenge_category': ['misc', 'crypto', 'misc', 'rev', 'rev', 'rev', 'web', 'misc', 'web', 'crypto', 'crypto', 'crypto', 'web', 'misc', 'misc'], 'challenge_points': ['1', '300', '112', '125', '155', '151', '165', '209', '138', '148', '146', '122', '105', '106', '1'], 'solve_time': ['2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
