name,points,challenges
ByteTheCookies,1923,"{'challenge_name': ['Ambiguous Collisions', 'Feedback form', 'Inter Pianura padana Forks and Spaghetti 🤌', 'StackBank1', 'M1n3ctf', 'POV', 'Telemetry', 'Eighth Secret of Bologna', 'YetAnotherOracle', 'Bologna Rider', 'AWAWA', 'Tortellini Check'], 'challenge_category': ['misc', 'misc', 'misc', 'web', 'misc', 'misc', 'web', 'misc', 'crypto', 'misc', 'forensics', 'misc'], 'challenge_points': ['94', '10', '175', '388', '175', '94', '280', '310', '247', '50', '50', '50'], 'solve_time': ['2025-04-06 21:28:11', '2025-04-06 20:18:01', '2025-04-06 18:30:29', '2025-04-06 16:52:31', '2025-04-06 16:22:01', '2025-04-06 15:20:16', '2025-04-06 15:06:34', '2025-04-06 14:49:27', '2025-04-06 01:14:05', '2025-04-05 23:13:43', '2025-04-05 22:47:20', '2025-04-05 22:30:13']}"
aetruria,1733,"{'challenge_name': ['Inter Pianura padana Forks and Spaghetti 🤌', 'Eighth Secret of Bologna', 'Feedback form', 'From Pet To Threat', 'M1n3ctf', 'Telemetry', 'Ambiguous Collisions', 'POV', 'Bologna Rider', 'AWAWA', 'Tortellini Check'], 'challenge_category': ['misc', 'misc', 'misc', 'rev', 'misc', 'web', 'misc', 'misc', 'misc', 'forensics', 'misc'], 'challenge_points': ['175', '310', '10', '445', '175', '280', '94', '94', '50', '50', '50'], 'solve_time': ['2025-04-06 21:32:26', '2025-04-06 20:41:33', '2025-04-06 20:18:32', '2025-04-06 18:43:21', '2025-04-06 18:19:46', '2025-04-06 15:03:51', '2025-04-06 03:27:38', '2025-04-05 23:53:33', '2025-04-05 23:03:12', '2025-04-05 22:42:10', '2025-04-05 22:35:38']}"
frevadiscor,1636,"{'challenge_name': ['Viby Notes', 'StackBank2', 'StackBank1', 'Telemetry'], 'challenge_category': ['web', 'web', 'web', 'web'], 'challenge_points': ['496', '472', '388', '280'], 'solve_time': ['2025-04-06 21:51:17', '2025-04-06 14:39:05', '2025-04-06 12:31:50', '2025-04-06 06:33:23']}"
KebabTeam,1188,"{'challenge_name': ['Picasso', 'Feedback form', 'Inter Pianura padana Forks and Spaghetti 🤌', 'AWAWA', 'POV', 'M1n3ctf', 'Bologna Rider', 'Ambiguous Collisions', 'Tortellini Check'], 'challenge_category': ['rev', 'misc', 'misc', 'forensics', 'misc', 'misc', 'misc', 'misc', 'misc'], 'challenge_points': ['490', '10', '175', '50', '94', '175', '50', '94', '50'], 'solve_time': ['2025-04-06 20:15:55', '2025-04-06 20:08:32', '2025-04-06 20:01:27', '2025-04-06 16:25:39', '2025-04-06 15:48:33', '2025-04-06 15:41:48', '2025-04-06 15:08:50', '2025-04-06 14:35:29', '2025-04-06 04:13:19']}"
cocay,1166,"{'challenge_name': ['Ambiguous Collisions', 'Password Checker', 'Tortellini Check', 'DELIRIVM', 'AWAWA'], 'challenge_category': ['misc', 'rev', 'misc', 'rev', 'forensics'], 'challenge_points': ['94', '482', '50', '490', '50'], 'solve_time': ['2025-04-06 16:47:54', '2025-04-06 15:22:15', '2025-04-06 13:28:48', '2025-04-06 13:27:22', '2025-04-06 06:50:31']}"
PWNC4M,884,"{'challenge_name': ['M1n3ctf', 'Feedback form', 'Ambiguous Collisions', 'Inter Pianura padana Forks and Spaghetti 🤌', 'Telemetry', 'Bologna Rider', 'AWAWA', 'Tortellini Check'], 'challenge_category': ['misc', 'misc', 'misc', 'misc', 'web', 'misc', 'forensics', 'misc'], 'challenge_points': ['175', '10', '94', '175', '280', '50', '50', '50'], 'solve_time': ['2025-04-06 20:37:08', '2025-04-06 20:21:47', '2025-04-06 20:21:09', '2025-04-06 17:57:34', '2025-04-06 04:58:25', '2025-04-05 22:47:51', '2025-04-05 22:44:09', '2025-04-05 22:31:35']}"
pwnormus,846,"{'challenge_name': ['POV', 'M1n3ctf', 'Telemetry', 'Tortellini Check', 'YetAnotherOracle'], 'challenge_category': ['misc', 'misc', 'web', 'misc', 'crypto'], 'challenge_points': ['94', '175', '280', '50', '247'], 'solve_time': ['2025-04-06 04:28:06', '2025-04-06 04:27:24', '2025-04-06 03:38:05', '2025-04-06 01:15:37', '2025-04-06 01:11:29']}"
hAOckers,635,"{'challenge_name': ['Inter Pianura padana Forks and Spaghetti 🤌', 'Eighth Secret of Bologna', 'AWAWA', 'Bologna Rider', 'Tortellini Check'], 'challenge_category': ['misc', 'misc', 'forensics', 'misc', 'misc'], 'challenge_points': ['175', '310', '50', '50', '50'], 'solve_time': ['2025-04-06 19:28:08', '2025-04-06 05:42:18', '2025-04-06 03:35:12', '2025-04-05 23:17:04', '2025-04-05 22:35:35']}"
zeqzoq,610,"{'challenge_name': ['Internet of Lighthouses', 'Bologna Rider', 'AWAWA', 'Tortellini Check'], 'challenge_category': ['forensics', 'misc', 'forensics', 'misc'], 'challenge_points': ['460', '50', '50', '50'], 'solve_time': ['2025-04-05 23:50:53', '2025-04-05 22:46:52', '2025-04-05 22:40:33', '2025-04-05 22:32:57']}"
Martial_Law_Enforcer,560,"{'challenge_name': ['Internet of Lighthouses', 'AWAWA', 'Tortellini Check'], 'challenge_category': ['forensics', 'forensics', 'misc'], 'challenge_points': ['460', '50', '50'], 'solve_time': ['2025-04-06 00:40:06', '2025-04-05 23:52:05', '2025-04-05 23:50:05']}"
Paperino ,504,"{'challenge_name': ['Eighth Secret of Bologna', 'POV', 'Bologna Rider', 'Tortellini Check'], 'challenge_category': ['misc', 'misc', 'misc', 'misc'], 'challenge_points': ['310', '94', '50', '50'], 'solve_time': ['2025-04-06 06:36:32', '2025-04-06 02:41:07', '2025-04-06 02:35:35', '2025-04-06 00:44:36']}"
Octopus Dealer,504,"{'challenge_name': ['Eighth Secret of Bologna', 'POV', 'Bologna Rider', 'Tortellini Check'], 'challenge_category': ['misc', 'misc', 'misc', 'misc'], 'challenge_points': ['310', '94', '50', '50'], 'solve_time': ['2025-04-06 12:47:51', '2025-04-06 02:40:46', '2025-04-06 02:29:45', '2025-04-05 23:29:39']}"
MegaPixel,504,"{'challenge_name': ['Eighth Secret of Bologna', 'POV', 'Bologna Rider', 'Tortellini Check'], 'challenge_category': ['misc', 'misc', 'misc', 'misc'], 'challenge_points': ['310', '94', '50', '50'], 'solve_time': ['2025-04-06 16:53:58', '2025-04-06 02:40:25', '2025-04-06 02:30:56', '2025-04-06 01:49:14']}"
the_borg,484,"{'challenge_name': ['Feedback form', 'POV', 'AWAWA', 'Tortellini Check', 'Telemetry'], 'challenge_category': ['misc', 'misc', 'forensics', 'misc', 'web'], 'challenge_points': ['10', '94', '50', '50', '280'], 'solve_time': ['2025-04-06 22:20:58', '2025-04-06 05:12:57', '2025-04-06 04:53:28', '2025-04-06 04:53:09', '2025-04-06 04:51:46']}"
CryptoCannoli,482,"{'challenge_name': ['Feedback form', 'Inter Pianura padana Forks and Spaghetti 🤌', 'YetAnotherOracle', 'Tortellini Check'], 'challenge_category': ['misc', 'misc', 'crypto', 'misc'], 'challenge_points': ['10', '175', '247', '50'], 'solve_time': ['2025-04-06 20:12:21', '2025-04-06 15:52:25', '2025-04-06 03:28:51', '2025-04-05 22:30:43']}"
ZazaMan,459,"{'challenge_name': ['Bologna Rider', 'x864Oracle'], 'challenge_category': ['misc', 'pwn'], 'challenge_points': ['50', '409'], 'solve_time': ['2025-04-06 20:54:15', '2025-04-06 20:17:47']}"
Turututtu,454,"{'challenge_name': ['Eighth Secret of Bologna', 'POV', 'Tortellini Check'], 'challenge_category': ['misc', 'misc', 'misc'], 'challenge_points': ['310', '94', '50'], 'solve_time': ['2025-04-06 13:14:32', '2025-04-06 04:32:52', '2025-04-05 23:18:06']}"
