,name,points,challenges
127,solady,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
128,Suraforjor,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
129,proutme,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
130,PHLESS,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
131,Team vamp,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
132,Manish Jangir,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
133,CyberShark123,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
134,New_gen,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
135,MSL,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
136,Team X,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
137,0bug,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
138,za balance,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
139,binaries codes,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
140,P0S1T1VE,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
141,four_ponyman,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
142,黄豆安全实验室,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
143,ctfrrteam,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
144,ALONE-WARRIOR,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
145,mewomewomewo,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
146,Keylogger Kings,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
147,BOMB,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
148,The Comets,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
149,0xE0F,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
150,the bob johns,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
151,IceSqQuad,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
152,Blue Lock Eleven,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
153,WhiteCat,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
154,MM8,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
155,Make-Money-EASY-AGAIN,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
156,jovemjeune,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
157,Penanamanggur,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
158,Lowelos,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
159,SecondTeam,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
160,GM,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
161,W3yw4rd,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
162,phoenix,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
163,The cyber vaders,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
164,yosef,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
165,Brain not found,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
166,квадроёберы,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
167,Encryptorium,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
168,NCA@Nepal,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
169,4nv4t,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
170,scythe,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
171,sajan,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
172,goeasyonme,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
173,CSL,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
174,Inimys,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
175,orangesantra,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
176,queennevercrybutweareprincess,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
177,The Hacktivists,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
178,0xfun,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
179,Team anon,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
180,FIREGATE,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
181,SOLOner,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
182,FORENSEEK,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
183,1NV3S71G470RS,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
184,7TW_Cr3W,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
185,Odyssey ops,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
186,rk01m,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
187,Satan's nakama,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
188,DIGGAJ,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
189,0xwhyzee,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
190,error_404,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
191,Milady Hack,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
192,BITSkrieg,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
193,cool team,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
194,R3DARK.EXE,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
195,0x0bserver,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
196,helvetic_hackers,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
197,pullman,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
198,PrivateUser,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
199,C1ph3rSt0rms,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
200,BPDB,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
201,HxH,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
202,flagtracer,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
203,CyberUnicorn,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
204,wayphone,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
205,1DA BIHI DAR MAMAS,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
206,KpyT0,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
207,sh3r,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
208,o4day,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
209,Arrbat`s team,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
210,gamerfreaks,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
211,Hacktrace,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
212,FsOCIETY,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
213,DTRUMP,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
214,Simonidas,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
215,Web3invokason,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
216,Magnum,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
217,Vidus,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
218,black hole,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
219,data/redacted,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
220,ww,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
221,5yn0us14,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
222,TACHODEX,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
223,99,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
224,Astar,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
225,Cyberfreak,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
226,ch1lL_9uy,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
227,warlordsam,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
228,bytethecookies,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
229,INfini,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
230,JUST PLAYING,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
231,SML,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
232,Dev,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
233,AtlasPwners,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
234,CyberUNIT,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
235,hackitty,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
236,A5ura,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
237,Byte Jugglers,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
238,raksa,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
239,officERS,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
240,Iqoo,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
241,VigilantE,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
242,𓃰🇹🇳,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
243,Knightbirds,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
244,kkk,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
245,ABOBIL Team,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
246,f4n_n3r0,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
247,Oliv9,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
248,PowerPuffBoys,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
249,OuY4Ng,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
250,PenProb,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
251,Robert'); DROP TABLE Students;--,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
252,d-team,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
253,laevatain,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
254,G1tc_Gu4rdians,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
255,roman_Charm,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
256,Doozers,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
257,ghosr,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
258,欧皇,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
259,p0pk1,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
260,Shiv,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
261,Capture the Swag,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
262,hji,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
263,ocean bird,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
264,TieSInger_Solo,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
265,dyno,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
266,h3ckm3ck,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
267,Notfind,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
268,LaZY_Spartans,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
269,xploit hound,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
270,R1yhtp,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
271,SuperMario,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
272,codejavu,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
273,hail,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
274,Ibex cyber intelligence,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
275,isp.flexible,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
276,888hacker,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
277,Mistakenforstrangers,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
278,EHT,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
279,MalMaN,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
280,DarkAngel,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
281,BrainRot,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
282,PURPLE,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
283,project_power_of_pwn,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
284,notpnwedyet,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
285,JF,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
286,CIKIDOT,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
287,Kira,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
288,Space_Bound_Err3r,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
289,Silent hacker,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
290,Shellskapsresan,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
291,Big boys,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
292,pindjouf,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
293,ΔV,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
294,TeamWithNoMeber,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
295,V0L7-XPL017,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
296,cube3,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
297,7rcha,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
298,Crypto knights,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
299,Nano Bite,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
300,Dionysos,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
301,silicopx,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
302,Thatctf,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
303,Straw hat hackers,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
304,ENSA TANGER,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
305,East_siders,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
306,Typing,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
307,VexWizard,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
308,Asome_Lamentxu,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
309,ar,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
310,Jaggu,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
311,zatal,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
312,Amber,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
313,xxx0xx1001xx,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
314,Chill_guys,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
315,0r@ng3_C4t,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
316,d,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
317,strapontin,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
318,mfon,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
319,top block,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
320,BWH,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
321,Architect Q,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
322,VCC,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
323,curs>d2,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
324,Hackbit,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
325,cyquest,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
326,CSI,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
327,Hack Smarter,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
328,test123,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
329,SHELL_C0DE TEAM,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
330,Untitled CTF Game,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
331,CipherHunters,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
332,planetearth,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
333,N2L,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
334,STRIKING LIONS,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
335,dOZER,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
336,RedSOC,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
337,desihackers,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
338,Al-Khwarizmi Brigade,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
339,gd,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
340,sorin,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
341,OSPF,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
342,X3 Security,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
343,CyberDucks,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
344,Void gate,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
345,401_πR4tes,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
346,0xnas,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
347,0xSolWrecker,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
348,Y0U.hav3.b3En.pwn3D,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
349,siark,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
350,T3ST,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
351,Frrrrom-dgut,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
352,gothamgone,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
353,L0ck8y7e,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
354,skulobasket,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
355,Davidpb,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
356,c4136,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
357,aria,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
358,crpta,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
359,ItPWNS,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
360,mogons,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
361,M4SEC,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
362,BugX,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
363,0xpwnec,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
364,detectors,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
365,Sk,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
366,Remedy CTF,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
367,CURS>D,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
368,Cg_hack,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
369,AVOLODER,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
370,BlackHAT,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
371,The_Sauceity,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
372,Alkor,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
373,TL,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
374,ISP1337Hackers,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
375,Matrix,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
376,why,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
377,soprano,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
378,ex3x,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
379,Bad astra Per Aspera,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
380,Despair,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
381,byteScript,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
382,nullifier0x00,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
383,41,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
384,r4c00ns,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
385,ospopen123,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
386,SnifferSquad,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
387,teamzz,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
388,W1TCH3RS,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
389,K3m_chua,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
390,MEOW^5_COIN,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
391,TEST1,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
