,name,points,challenges
10,OUTofGas,4940,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'Lockdown', 'Casino Avengers', 'Frozen Voting', 'Not a very LUCKY TOKEN', 'Opaze Whisperer', ""Rich Man's Bet"", 'Restricted Proxy', 'Proof-of-Thought', 'risc4', 'Et tu, Permit2?', ""Maybe it's unnecessary?"", 'R vs Q', 'HealthCheck as a Service'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity, DeFi', 'Solidity', 'Solidity, Governance', 'Solidity', 'Solidity, Reversing', 'Solidity', 'Solidity, EVM', 'AI, Blockchain', 'ZK/Crypto, Reversing', 'Glider', 'Glider', 'Glider', 'WEB, NOSTALGIA']}"
11,Friendly Maltese Citizens,4556,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'Lockdown', 'Casino Avengers', 'Frozen Voting', 'Not a very LUCKY TOKEN', ""Rich Man's Bet"", 'Restricted Proxy', 'Proof-of-Thought', 'Copy/Paste/Deploy', 'risc4', 'Et tu, Permit2?', 'R vs Q', 'HealthCheck as a Service'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity, DeFi', 'Solidity', 'Solidity, Governance', 'Solidity', 'Solidity', 'Solidity, EVM', 'AI, Blockchain', 'Web', 'ZK/Crypto, Reversing', 'Glider', 'Glider', 'WEB, NOSTALGIA']}"
12,Statemind,4048,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'Lockdown', 'Casino Avengers', 'Frozen Voting', 'Not a very LUCKY TOKEN', 'Opaze Whisperer', ""Rich Man's Bet"", 'Proof-of-Thought', 'Et tu, Permit2?', ""Maybe it's unnecessary?"", 'R vs Q', '""memorable"" onlyOwner'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity, DeFi', 'Solidity', 'Solidity, Governance', 'Solidity', 'Solidity, Reversing', 'Solidity', 'AI, Blockchain', 'Glider', 'Glider', 'Glider', 'Glider']}"
13,Amber Labs,3004,"{'challenge_name': ['Welcome Discord Challenge', 'Lockdown', 'Casino Avengers', 'Frozen Voting', 'Not a very LUCKY TOKEN', ""Rich Man's Bet"", 'Proof-of-Thought', 'Et tu, Permit2?', ""Maybe it's unnecessary?"", 'R vs Q'], 'challenge_category': ['Welcome', 'Solidity, DeFi', 'Solidity', 'Solidity, Governance', 'Solidity', 'Solidity', 'AI, Blockchain', 'Glider', 'Glider', 'Glider']}"
14,INFOBAHN,2336,"{'challenge_name': ['Welcome Discord Challenge', 'Proof-of-Thought', 'Copy/Paste/Deploy', 'risc4', 'Et tu, Permit2?', 'R vs Q', 'HealthCheck as a Service'], 'challenge_category': ['Welcome', 'AI, Blockchain', 'Web', 'ZK/Crypto, Reversing', 'Glider', 'Glider', 'WEB, NOSTALGIA']}"
15,justCatTheFish,2325,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'Lockdown', 'Casino Avengers', 'Frozen Voting', ""Rich Man's Bet"", 'Unstable Pool', 'Proof-of-Thought', 'R vs Q'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity, DeFi', 'Solidity', 'Solidity, Governance', 'Solidity', 'Solidity, DeFi', 'AI, Blockchain', 'Glider']}"
16,electisec,1888,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'Casino Avengers', 'Frozen Voting', ""Rich Man's Bet"", 'Proof-of-Thought', ""Maybe it's unnecessary?"", 'R vs Q'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity', 'Solidity, Governance', 'Solidity', 'AI, Blockchain', 'Glider', 'Glider']}"
17,Blockian,1561,"{'challenge_name': ['Welcome Discord Challenge', 'Frozen Voting', ""Rich Man's Bet"", 'Unstable Pool', 'Peer-to-peer-to-me'], 'challenge_category': ['Welcome', 'Solidity, Governance', 'Solidity', 'Solidity, DeFi', 'Solidity, DeFi']}"
18,WONDERLAND,1512,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'Casino Avengers', 'Frozen Voting', ""Rich Man's Bet"", ""Maybe it's unnecessary?"", 'R vs Q'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity', 'Solidity, Governance', 'Solidity', 'Glider', 'Glider']}"
19,DTL,1469,"{'challenge_name': ['Welcome Discord Challenge', 'Casino Avengers', ""Rich Man's Bet"", 'Proof-of-Thought', ""Maybe it's unnecessary?"", 'R vs Q'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity', 'AI, Blockchain', 'Glider', 'Glider']}"
20,Minato7namikazi,1468,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'Lockdown', 'risc4', ""Maybe it's unnecessary?"", 'R vs Q'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity, DeFi', 'ZK/Crypto, Reversing', 'Glider', 'Glider']}"
21,wen results,1383,"{'challenge_name': ['Welcome Discord Challenge', 'Lockdown', 'Casino Avengers', 'Frozen Voting', ""Rich Man's Bet"", 'R vs Q'], 'challenge_category': ['Welcome', 'Solidity, DeFi', 'Solidity', 'Solidity, Governance', 'Solidity', 'Glider']}"
22,fade,1368,"{'challenge_name': ['Welcome Discord Challenge', 'Frozen Voting', ""Maybe it's unnecessary?"", 'R vs Q', '""memorable"" onlyOwner'], 'challenge_category': ['Welcome', 'Solidity, Governance', 'Glider', 'Glider', 'Glider']}"
23,PUSH0,1332,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'Casino Avengers', 'Et tu, Permit2?', ""Maybe it's unnecessary?"", 'R vs Q'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity', 'Glider', 'Glider', 'Glider']}"
24,etherhood,1321,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'Lockdown', 'Casino Avengers', 'Frozen Voting', ""Rich Man's Bet""], 'challenge_category': ['Welcome', 'Solidity', 'Solidity, DeFi', 'Solidity', 'Solidity, Governance', 'Solidity']}"
25,VAD37,1267,"{'challenge_name': ['Diamond Heist', 'Not a very LUCKY TOKEN', ""Rich Man's Bet"", 'Unstable Pool'], 'challenge_category': ['Solidity', 'Solidity', 'Solidity', 'Solidity, DeFi']}"
26,72889d19dabd4b648e7a0a4bf76ff61a,1113,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'Casino Avengers', 'Frozen Voting', ""Rich Man's Bet"", 'R vs Q'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity', 'Solidity, Governance', 'Solidity', 'Glider']}"
27,I'm Batman,1047,"{'challenge_name': ['Diamond Heist', 'Lockdown', 'Casino Avengers', 'Frozen Voting'], 'challenge_category': ['Solidity', 'Solidity, DeFi', 'Solidity', 'Solidity, Governance']}"
28,fibonhack,951,"{'challenge_name': ['Welcome Discord Challenge', 'Proof-of-Thought', 'Et tu, Permit2?', 'R vs Q'], 'challenge_category': ['Welcome', 'AI, Blockchain', 'Glider', 'Glider']}"
29,thehackerscrew,900,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', ""Rich Man's Bet"", 'Proof-of-Thought', 'R vs Q'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity', 'AI, Blockchain', 'Glider']}"
30,Leet puppets,883,"{'challenge_name': ['Welcome Discord Challenge', 'Casino Avengers', 'R vs Q', 'HealthCheck as a Service'], 'challenge_category': ['Welcome', 'Solidity', 'Glider', 'WEB, NOSTALGIA']}"
31,Taiwanese Shabu,772,"{'challenge_name': ['Welcome Discord Challenge', 'Frozen Voting', 'Not a very LUCKY TOKEN'], 'challenge_category': ['Welcome', 'Solidity, Governance', 'Solidity']}"
32,NOCHAINS,727,"{'challenge_name': ['Welcome Discord Challenge', 'Casino Avengers', 'HealthCheck as a Service'], 'challenge_category': ['Welcome', 'Solidity', 'WEB, NOSTALGIA']}"
33,zoltraak,719,"{'challenge_name': ['Welcome Discord Challenge', ""Rich Man's Bet"", 'risc4'], 'challenge_category': ['Welcome', 'Solidity', 'ZK/Crypto, Reversing']}"
34,KITCTF,705,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'risc4', 'R vs Q'], 'challenge_category': ['Welcome', 'Solidity', 'ZK/Crypto, Reversing', 'Glider']}"
35,0xGG,694,"{'challenge_name': ['Welcome Discord Challenge', 'Casino Avengers', ""Rich Man's Bet"", 'R vs Q'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity', 'Glider']}"
36,Hecker,669,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'Et tu, Permit2?', 'R vs Q'], 'challenge_category': ['Welcome', 'Solidity', 'Glider', 'Glider']}"
37,0xArz,638,"{'challenge_name': ['Welcome Discord Challenge', 'Lockdown', 'Casino Avengers'], 'challenge_category': ['Welcome', 'Solidity, DeFi', 'Solidity']}"
38,Layerswap,575,"{'challenge_name': ['Welcome Discord Challenge', 'Et tu, Permit2?', 'R vs Q'], 'challenge_category': ['Welcome', 'Glider', 'Glider']}"
39,libra,468,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'Lockdown'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity, DeFi']}"
40,S1uM4i,463,"{'challenge_name': ['Welcome Discord Challenge', 'HealthCheck as a Service'], 'challenge_category': ['Welcome', 'WEB, NOSTALGIA']}"
