points,name,challenge
1362,TahSec,"{'challenge_name': ['Baby Pwn 2', 'POOF', 'Highly Optimized', 'Decrypt Me', 'Baby Pwn', 'Racing', 'Funny Cipher', 'Surgery', 'Scavenger Hunt', 'Math Test', 'Sanity Check'], 'challenge_category': ['Pwn', 'Forensics', 'Rev', 'Forensics', 'Pwn', 'Misc', 'Crypto', 'Misc', 'Web', 'Misc', 'Misc'], 'challenge_points': ['100', '100', '244', '218', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T11:05:07.096026Z', '2025-01-12T07:42:45.321350Z', '2025-01-12T02:06:33.288227Z', '2025-01-11T23:41:57.216867Z', '2025-01-11T22:53:43.009714Z', '2025-01-11T08:23:38.845777Z', '2025-01-11T04:29:49.172652Z', '2025-01-11T02:55:13.766307Z', '2025-01-11T01:47:38.565211Z', '2025-01-11T01:46:06.927927Z', '2025-01-11T00:03:06.930748Z']}"
1362,Budu,"{'challenge_name': ['POOF', 'Decrypt Me', 'Racing', 'Scavenger Hunt', 'Highly Optimized', 'Surgery', 'Baby Pwn 2', 'Funny Cipher', 'Baby Pwn', 'Math Test', 'Sanity Check'], 'challenge_category': ['Forensics', 'Forensics', 'Misc', 'Web', 'Rev', 'Misc', 'Pwn', 'Crypto', 'Pwn', 'Misc', 'Misc'], 'challenge_points': ['100', '218', '100', '100', '244', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T22:22:19.595299Z', '2025-01-12T10:28:32.319373Z', '2025-01-11T17:45:06.042167Z', '2025-01-11T17:28:37.180756Z', '2025-01-11T16:24:21.238792Z', '2025-01-11T10:40:19.935564Z', '2025-01-11T08:26:07.858839Z', '2025-01-11T05:48:16.342839Z', '2025-01-11T04:09:52.947062Z', '2025-01-11T03:39:57.299290Z', '2025-01-11T03:03:00.215117Z']}"
1351,Alongside,"{'challenge_name': ['CodeDB', 'Prismatic Blogs', 'Scavenger Hunt', 'Baby Pwn', 'Racing', 'Sanity Check', 'Math Test', 'Enchanted Oracle', 'Funny Cipher'], 'challenge_category': ['Web', 'Web', 'Web', 'Pwn', 'Misc', 'Misc', 'Misc', 'Crypto', 'Crypto'], 'challenge_points': ['388', '100', '100', '100', '100', '100', '100', '263', '100'], 'solve_time': ['2025-01-12T20:27:19.949125Z', '2025-01-12T14:01:09.859223Z', '2025-01-12T11:50:57.533623Z', '2025-01-11T13:28:18.868506Z', '2025-01-11T12:54:52.897652Z', '2025-01-11T12:49:03.019334Z', '2025-01-11T12:47:26.675186Z', '2025-01-11T12:14:04.123723Z', '2025-01-11T10:08:06.919486Z']}"
1344,motxx,"{'challenge_name': ['Decrypt Me', 'Baby Pwn 2', 'Out of the Container', 'Funny Cipher', 'Racing', 'Surgery', 'Math Test', 'Baby Pwn', 'Scavenger Hunt', 'Sanity Check'], 'challenge_category': ['Forensics', 'Pwn', 'Misc', 'Crypto', 'Misc', 'Misc', 'Misc', 'Pwn', 'Web', 'Misc'], 'challenge_points': ['218', '100', '326', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T13:46:52.937111Z', '2025-01-11T13:27:25.470868Z', '2025-01-11T12:19:04.615616Z', '2025-01-11T10:16:27.122188Z', '2025-01-11T09:34:42.821078Z', '2025-01-11T06:47:33.192507Z', '2025-01-11T06:17:31.703780Z', '2025-01-11T05:45:48.858937Z', '2025-01-11T04:32:12.919742Z', '2025-01-11T02:24:50.158943Z']}"
1344,VxPx,"{'challenge_name': ['Out of the Container', 'Prismatic Blogs', 'Decrypt Me', 'Racing', 'Scavenger Hunt', 'Math Test', 'Surgery', 'Baby Pwn 2', 'Baby Pwn', 'Sanity Check'], 'challenge_category': ['Misc', 'Web', 'Forensics', 'Misc', 'Web', 'Misc', 'Misc', 'Pwn', 'Pwn', 'Misc'], 'challenge_points': ['326', '100', '218', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T17:34:57.490869Z', '2025-01-12T12:42:00.384173Z', '2025-01-11T17:22:37.720194Z', '2025-01-11T09:02:23.599753Z', '2025-01-11T02:47:05.676747Z', '2025-01-11T02:10:05.385498Z', '2025-01-11T01:32:35.733694Z', '2025-01-11T01:14:46.493970Z', '2025-01-11T00:13:56.142928Z', '2025-01-11T00:09:00.583084Z']}"
1344,CaTs caFe,"{'challenge_name': ['Out of the Container', 'Funny Cipher', 'Decrypt Me', 'Racing', 'Surgery', 'Scavenger Hunt', 'Math Test', 'Baby Pwn 2', 'Baby Pwn', 'Sanity Check'], 'challenge_category': ['Misc', 'Crypto', 'Forensics', 'Misc', 'Misc', 'Web', 'Misc', 'Pwn', 'Pwn', 'Misc'], 'challenge_points': ['326', '100', '218', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T18:46:11.336300Z', '2025-01-11T17:59:55.598176Z', '2025-01-11T16:22:15.747820Z', '2025-01-11T07:49:29.014180Z', '2025-01-11T02:37:37.442196Z', '2025-01-11T02:09:07.954095Z', '2025-01-11T01:41:48.893353Z', '2025-01-11T00:27:41.142345Z', '2025-01-11T00:25:37.929731Z', '2025-01-11T00:04:23.740357Z']}"
1343,0xE0F,"{'challenge_name': ['Prismatic Blogs', 'Racing 2', 'Racing', 'POOF', 'Math Test', 'Echo', 'Scavenger Hunt', 'Baby Pwn 2', 'Baby Pwn', 'Sanity Check'], 'challenge_category': ['Web', 'Misc', 'Misc', 'Forensics', 'Misc', 'Pwn', 'Web', 'Pwn', 'Pwn', 'Misc'], 'challenge_points': ['100', '155', '100', '100', '100', '388', '100', '100', '100', '100'], 'solve_time': ['2025-01-11T23:22:25.548681Z', '2025-01-11T15:00:21.924074Z', '2025-01-11T14:12:03.619002Z', '2025-01-11T14:07:41.730691Z', '2025-01-11T04:34:31.416332Z', '2025-01-11T02:45:46.583910Z', '2025-01-11T01:29:54.263238Z', '2025-01-11T01:14:20.738754Z', '2025-01-11T01:06:42.199438Z', '2025-01-11T00:05:21.879968Z']}"
1318,Tau,"{'challenge_name': ['Enchanted Oracle', 'Prismatic Blogs', 'Baby Pwn 2', 'Scavenger Hunt', 'Funny Cipher', 'Racing 2', 'Racing', 'Surgery', 'Baby Pwn', 'Math Test', 'Sanity Check'], 'challenge_category': ['Crypto', 'Web', 'Pwn', 'Web', 'Crypto', 'Misc', 'Misc', 'Misc', 'Pwn', 'Misc', 'Misc'], 'challenge_points': ['263', '100', '100', '100', '100', '155', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T23:06:58.515119Z', '2025-01-12T21:54:25.411367Z', '2025-01-12T08:36:25.290492Z', '2025-01-11T21:10:08.251269Z', '2025-01-11T17:30:20.392311Z', '2025-01-11T06:18:37.946663Z', '2025-01-11T05:17:08.967747Z', '2025-01-11T04:36:42.153675Z', '2025-01-11T03:06:28.265196Z', '2025-01-11T02:27:47.978397Z', '2025-01-11T01:40:58.321047Z']}"
1314,お仕事ください,"{'challenge_name': ['Math Test', 'CodeDB', 'Scavenger Hunt', 'POOF', 'Out of the Container', 'Racing', 'Baby Pwn 2', 'Baby Pwn'], 'challenge_category': ['Misc', 'Web', 'Web', 'Forensics', 'Misc', 'Misc', 'Pwn', 'Pwn'], 'challenge_points': ['100', '388', '100', '100', '326', '100', '100', '100'], 'solve_time': ['2025-01-12T20:07:30.686425Z', '2025-01-12T17:32:56.102400Z', '2025-01-11T08:59:17.564587Z', '2025-01-11T08:06:15.905031Z', '2025-01-11T06:24:15.304303Z', '2025-01-11T05:29:39.517374Z', '2025-01-11T05:15:01.014082Z', '2025-01-11T01:32:54.049308Z']}"
1297,Kotelniki,"{'challenge_name': ['Out of the Container', 'Racing', 'Math Test', 'Funny Cipher', 'Py_FlagChecker', 'Scavenger Hunt', 'Sanity Check'], 'challenge_category': ['Misc', 'Misc', 'Misc', 'Crypto', 'Rev', 'Web', 'Misc'], 'challenge_points': ['326', '100', '100', '100', '471', '100', '100'], 'solve_time': ['2025-01-12T12:28:58.571926Z', '2025-01-12T11:18:34.291257Z', '2025-01-12T08:38:05.686958Z', '2025-01-12T07:44:41.446061Z', '2025-01-11T19:02:21.076094Z', '2025-01-11T02:18:05.496566Z', '2025-01-11T00:46:42.420380Z']}"
1288,4lph4Du0,"{'challenge_name': ['Echo', 'Sanity Check', 'Baby Pwn 2', 'Prismatic Blogs', 'Baby Pwn', 'Funny Cipher', 'Math Test', 'Racing', 'POOF', 'Scavenger Hunt'], 'challenge_category': ['Pwn', 'Misc', 'Pwn', 'Web', 'Pwn', 'Crypto', 'Misc', 'Misc', 'Forensics', 'Web'], 'challenge_points': ['388', '100', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T10:03:10.267033Z', '2025-01-11T16:30:44.475367Z', '2025-01-11T16:05:32.977829Z', '2025-01-11T15:59:49.293990Z', '2025-01-11T15:53:24.928889Z', '2025-01-11T15:00:08.995869Z', '2025-01-11T14:55:16.876678Z', '2025-01-11T14:54:07.587781Z', '2025-01-11T14:52:32.894436Z', '2025-01-11T14:48:53.409530Z']}"
1283,gLaR3g3x,"{'challenge_name': ['Walk in the Forest', 'Prismatic Blogs', 'POOF', 'Surgery', 'Racing', 'Math Test', 'Scavenger Hunt', 'Baby Pwn', 'Sanity Check'], 'challenge_category': ['Misc', 'Web', 'Forensics', 'Misc', 'Misc', 'Misc', 'Web', 'Pwn', 'Misc'], 'challenge_points': ['483', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T15:43:20.293182Z', '2025-01-11T22:34:45.381167Z', '2025-01-11T18:18:15.920121Z', '2025-01-11T16:27:22.366309Z', '2025-01-11T15:37:57.294838Z', '2025-01-11T14:53:17.090842Z', '2025-01-11T02:49:09.259738Z', '2025-01-11T02:05:21.657389Z', '2025-01-11T00:03:00.630133Z']}"
1273,1c3Gh3tt0,"{'challenge_name': ['Decrypt Me', 'Surgery', 'Racing 2', 'POOF', 'Funny Cipher', 'Scavenger Hunt', 'Baby Pwn 2', 'Baby Pwn', 'Racing', 'Math Test', 'Sanity Check'], 'challenge_category': ['Forensics', 'Misc', 'Misc', 'Forensics', 'Crypto', 'Web', 'Pwn', 'Pwn', 'Misc', 'Misc', 'Misc'], 'challenge_points': ['218', '100', '155', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-11T18:30:49.341686Z', '2025-01-11T16:40:26.667728Z', '2025-01-11T16:19:42.429966Z', '2025-01-11T14:45:21.999534Z', '2025-01-11T13:57:32.162950Z', '2025-01-11T13:36:52.238572Z', '2025-01-11T11:44:40.102057Z', '2025-01-11T11:30:13.469522Z', '2025-01-11T11:00:38.035670Z', '2025-01-11T10:13:46.741154Z', '2025-01-11T00:36:34.843518Z']}"
1273,0xfun,"{'challenge_name': ['Decrypt Me', 'Surgery', 'Racing 2', 'POOF', 'Funny Cipher', 'Racing', 'Math Test', 'Sanity Check', 'Scavenger Hunt', 'Baby Pwn 2', 'Baby Pwn'], 'challenge_category': ['Forensics', 'Misc', 'Misc', 'Forensics', 'Crypto', 'Misc', 'Misc', 'Misc', 'Web', 'Pwn', 'Pwn'], 'challenge_points': ['218', '100', '155', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-11T18:34:23.850249Z', '2025-01-11T16:47:42.902067Z', '2025-01-11T16:45:24.906739Z', '2025-01-11T15:37:51.064814Z', '2025-01-11T15:32:08.140791Z', '2025-01-11T15:05:03.315046Z', '2025-01-11T14:41:05.811944Z', '2025-01-11T14:28:15.669003Z', '2025-01-11T14:22:46.006168Z', '2025-01-11T14:16:55.985377Z', '2025-01-11T14:06:18.329692Z']}"
1273,Bing Chilling,"{'challenge_name': ['Prismatic Blogs', 'Decrypt Me', 'Funny Cipher', 'Racing 2', 'Surgery', 'Scavenger Hunt', 'Sanity Check', 'Math Test', 'Baby Pwn 2', 'Racing', 'Baby Pwn'], 'challenge_category': ['Web', 'Forensics', 'Crypto', 'Misc', 'Misc', 'Web', 'Misc', 'Misc', 'Pwn', 'Misc', 'Pwn'], 'challenge_points': ['100', '218', '100', '155', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T09:37:53.419856Z', '2025-01-11T09:12:51.388149Z', '2025-01-11T06:39:40.035324Z', '2025-01-11T06:28:26.774010Z', '2025-01-11T04:54:12.272841Z', '2025-01-11T03:07:50.176835Z', '2025-01-11T00:56:53.722300Z', '2025-01-11T00:47:58.669197Z', '2025-01-11T00:37:31.585360Z', '2025-01-11T00:26:45.593371Z', '2025-01-11T00:04:09.126443Z']}"
1273,Capture the Swag,"{'challenge_name': ['Scavenger Hunt', 'Racing 2', 'Math Test', 'Racing', 'Surgery', 'Sanity Check', 'Baby Pwn 2', 'Baby Pwn', 'Funny Cipher', 'Decrypt Me', 'POOF'], 'challenge_category': ['Web', 'Misc', 'Misc', 'Misc', 'Misc', 'Misc', 'Pwn', 'Pwn', 'Crypto', 'Forensics', 'Forensics'], 'challenge_points': ['100', '155', '100', '100', '100', '100', '100', '100', '100', '218', '100'], 'solve_time': ['2025-01-12T12:08:33.431033Z', '2025-01-12T09:15:55.825622Z', '2025-01-12T09:02:21.656615Z', '2025-01-12T08:43:59.226138Z', '2025-01-12T08:36:58.717328Z', '2025-01-12T08:12:30.954444Z', '2025-01-12T08:08:04.553390Z', '2025-01-12T07:48:49.615588Z', '2025-01-12T07:34:16.324023Z', '2025-01-12T07:09:08.468811Z', '2025-01-12T01:51:33.183762Z']}"
1256,PLUS,"{'challenge_name': ['Hash Table As a Service', 'Enchanted Oracle', 'Funny Cipher', 'Baby Pwn 2', 'Baby Pwn', 'Math Test', 'Sanity Check'], 'challenge_category': ['Pwn', 'Crypto', 'Crypto', 'Pwn', 'Pwn', 'Misc', 'Misc'], 'challenge_points': ['493', '263', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T11:28:57.917580Z', '2025-01-11T15:01:16.686075Z', '2025-01-11T07:04:14.881484Z', '2025-01-11T05:57:53.966661Z', '2025-01-11T04:39:11.019582Z', '2025-01-11T04:02:28.077848Z', '2025-01-11T03:49:53.033682Z']}"
1251,sayonara,"{'challenge_name': ['Racing', 'CodeDB', 'Enchanted Oracle', 'Prismatic Blogs', 'Scavenger Hunt', 'Sanity Check', 'Math Test', 'Funny Cipher'], 'challenge_category': ['Misc', 'Web', 'Crypto', 'Web', 'Web', 'Misc', 'Misc', 'Crypto'], 'challenge_points': ['100', '388', '263', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T17:35:39.328847Z', '2025-01-12T16:20:12.397163Z', '2025-01-12T14:57:12.929256Z', '2025-01-12T09:54:20.895183Z', '2025-01-11T08:47:22.916991Z', '2025-01-11T06:56:45.385178Z', '2025-01-11T06:54:52.101637Z', '2025-01-11T06:16:11.885029Z']}"
1244,3r0th3r CC,"{'challenge_name': ['Prismatic Blogs', 'Funny Cipher', 'Highly Optimized', 'POOF', 'Surgery', 'Baby Pwn 2', 'Racing', 'Baby Pwn', 'Scavenger Hunt', 'Sanity Check', 'Math Test'], 'challenge_category': ['Web', 'Crypto', 'Rev', 'Forensics', 'Misc', 'Pwn', 'Misc', 'Pwn', 'Web', 'Misc', 'Misc'], 'challenge_points': ['100', '100', '244', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-11T18:12:33.715427Z', '2025-01-11T16:30:48.377192Z', '2025-01-11T16:00:49.722761Z', '2025-01-11T13:22:16.116306Z', '2025-01-11T07:20:55.096043Z', '2025-01-11T06:39:59.119506Z', '2025-01-11T06:38:39.696791Z', '2025-01-11T04:54:14.043654Z', '2025-01-11T04:44:23.029029Z', '2025-01-11T04:44:09.544279Z', '2025-01-11T04:43:10.078076Z']}"
1226,JumpingCats4000,"{'challenge_name': ['Out of the Container', 'POOF', 'Funny Cipher', 'Surgery', 'Racing', 'Math Test', 'Baby Pwn 2', 'Baby Pwn', 'Scavenger Hunt', 'Sanity Check'], 'challenge_category': ['Misc', 'Forensics', 'Crypto', 'Misc', 'Misc', 'Misc', 'Pwn', 'Pwn', 'Web', 'Misc'], 'challenge_points': ['326', '100', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T16:06:18.491405Z', '2025-01-12T11:07:55.980565Z', '2025-01-12T06:28:44.859156Z', '2025-01-12T05:48:25.067489Z', '2025-01-12T04:27:13.719219Z', '2025-01-12T03:17:24.683891Z', '2025-01-12T03:04:22.484358Z', '2025-01-11T14:09:22.912371Z', '2025-01-11T12:00:50.420047Z', '2025-01-11T09:15:25.066898Z']}"
1218,3BASH,"{'challenge_name': ['Racing 2', 'Enchanted Oracle', 'Baby Pwn 2', 'Baby Pwn', 'Racing', 'Scavenger Hunt', 'Surgery', 'Funny Cipher', 'Sanity Check', 'Math Test'], 'challenge_category': ['Misc', 'Crypto', 'Pwn', 'Pwn', 'Misc', 'Web', 'Misc', 'Crypto', 'Misc', 'Misc'], 'challenge_points': ['155', '263', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T20:16:33.335321Z', '2025-01-12T09:56:00.634545Z', '2025-01-11T14:39:54.041582Z', '2025-01-11T13:05:51.444879Z', '2025-01-11T11:12:38.575680Z', '2025-01-11T10:53:00.759072Z', '2025-01-11T10:33:13.913672Z', '2025-01-11T09:33:50.671797Z', '2025-01-11T08:50:27.896220Z', '2025-01-11T08:17:14.504668Z']}"
1215,/nu/cat,"{'challenge_name': ['Baby Pwn', 'Py_FlagChecker', 'Racing', 'POOF', 'Math Test', 'Highly Optimized', 'Sanity Check'], 'challenge_category': ['Pwn', 'Rev', 'Misc', 'Forensics', 'Misc', 'Rev', 'Misc'], 'challenge_points': ['100', '471', '100', '100', '100', '244', '100'], 'solve_time': ['2025-01-12T21:50:23.758100Z', '2025-01-12T21:27:12.093087Z', '2025-01-12T16:53:31.529711Z', '2025-01-12T16:32:44.197537Z', '2025-01-12T04:46:48.704899Z', '2025-01-11T05:45:29.160217Z', '2025-01-11T00:51:46.604553Z']}"
1207,Dawg4j,"{'challenge_name': ['Enchanted Oracle', 'Racing', 'POOF', 'Highly Optimized', 'Baby Pwn 2', 'Math Test', 'Baby Pwn', 'Scavenger Hunt', 'Sanity Check'], 'challenge_category': ['Crypto', 'Misc', 'Forensics', 'Rev', 'Pwn', 'Misc', 'Pwn', 'Web', 'Misc'], 'challenge_points': ['263', '100', '100', '244', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-11T17:28:26.977273Z', '2025-01-11T08:05:06.479059Z', '2025-01-11T03:32:35.086549Z', '2025-01-11T02:28:36.487013Z', '2025-01-11T01:55:44.901327Z', '2025-01-11T01:52:37.702854Z', '2025-01-11T01:42:08.964652Z', '2025-01-11T00:51:14.282206Z', '2025-01-11T00:26:44.450153Z']}"
1207,418teapot,"{'challenge_name': ['POOF', 'Highly Optimized', 'Baby Pwn 2', 'Enchanted Oracle', 'Sanity Check', 'Math Test', 'Prismatic Blogs', 'Baby Pwn', 'Scavenger Hunt'], 'challenge_category': ['Forensics', 'Rev', 'Pwn', 'Crypto', 'Misc', 'Misc', 'Web', 'Pwn', 'Web'], 'challenge_points': ['100', '244', '100', '263', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-11T22:26:14.743840Z', '2025-01-11T21:33:57.511417Z', '2025-01-11T19:28:16.418418Z', '2025-01-11T14:51:11.984769Z', '2025-01-11T03:47:24.829735Z', '2025-01-11T03:46:50.183190Z', '2025-01-11T03:42:27.391095Z', '2025-01-11T01:56:58.137641Z', '2025-01-11T01:27:15.804570Z']}"
1199,:LOLZZ:,"{'challenge_name': ['Scavenger Hunt', 'Surgery', 'Racing 2', 'Baby Pwn 2', 'Baby Pwn', 'Sanity Check', 'Math Test', 'Racing', 'Highly Optimized', 'POOF'], 'challenge_category': ['Web', 'Misc', 'Misc', 'Pwn', 'Pwn', 'Misc', 'Misc', 'Misc', 'Rev', 'Forensics'], 'challenge_points': ['100', '100', '155', '100', '100', '100', '100', '100', '244', '100'], 'solve_time': ['2025-01-12T11:44:44.127028Z', '2025-01-12T11:26:52.917904Z', '2025-01-12T09:36:37.991307Z', '2025-01-12T03:39:11.060898Z', '2025-01-12T03:34:59.733883Z', '2025-01-12T01:56:51.801619Z', '2025-01-12T01:56:02.619780Z', '2025-01-12T01:48:01.502342Z', '2025-01-11T15:00:11.430594Z', '2025-01-11T13:41:49.070523Z']}"
1199,BatteringRAM,"{'challenge_name': ['POOF', 'Highly Optimized', 'Funny Cipher', 'Racing 2', 'Math Test', 'Racing', 'Baby Pwn 2', 'Baby Pwn', 'Scavenger Hunt', 'Sanity Check'], 'challenge_category': ['Forensics', 'Rev', 'Crypto', 'Misc', 'Misc', 'Misc', 'Pwn', 'Pwn', 'Web', 'Misc'], 'challenge_points': ['100', '244', '100', '155', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T18:37:45.409215Z', '2025-01-11T17:36:15.417609Z', '2025-01-11T16:20:09.342332Z', '2025-01-11T14:57:33.661615Z', '2025-01-11T10:50:37.600995Z', '2025-01-11T10:44:55.014038Z', '2025-01-11T10:36:30.050166Z', '2025-01-11T10:18:40.995429Z', '2025-01-11T10:01:32.838080Z', '2025-01-11T09:45:22.855614Z']}"
1194,itunderground,"{'challenge_name': ['Bloatware', 'Surgery', 'Math Test', 'Racing', 'Scavenger Hunt', 'Baby Pwn 2', 'Baby Pwn', 'Sanity Check'], 'challenge_category': ['Rev', 'Misc', 'Misc', 'Misc', 'Web', 'Pwn', 'Pwn', 'Misc'], 'challenge_points': ['494', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T20:57:26.446312Z', '2025-01-11T23:25:06.962205Z', '2025-01-11T19:33:55.289661Z', '2025-01-11T18:53:56.796212Z', '2025-01-11T04:55:01.540636Z', '2025-01-11T04:08:31.891068Z', '2025-01-11T03:38:29.187087Z', '2025-01-11T00:22:25.124299Z']}"
1188,Brunnerne,"{'challenge_name': ['Echo', 'Sanity Check', 'Racing', 'Baby Pwn', 'Math Test', 'Funny Cipher', 'POOF', 'Scavenger Hunt', 'Surgery'], 'challenge_category': ['Pwn', 'Misc', 'Misc', 'Pwn', 'Misc', 'Crypto', 'Forensics', 'Web', 'Misc'], 'challenge_points': ['388', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T16:27:40.699274Z', '2025-01-11T14:51:02.086934Z', '2025-01-11T14:44:39.309541Z', '2025-01-11T14:20:59.316572Z', '2025-01-11T14:10:50.125739Z', '2025-01-11T13:34:32.631230Z', '2025-01-11T11:55:38.591184Z', '2025-01-11T10:13:39.557310Z', '2025-01-11T10:12:43.204659Z']}"
1181,mesh,"{'challenge_name': ['Out of the Container', 'Racing 2', 'Racing', 'Baby Pwn', 'Scavenger Hunt', 'POOF', 'Math Test', 'Surgery', 'Sanity Check'], 'challenge_category': ['Misc', 'Misc', 'Misc', 'Pwn', 'Web', 'Forensics', 'Misc', 'Misc', 'Misc'], 'challenge_points': ['326', '155', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-11T18:16:09.808968Z', '2025-01-11T17:08:05.371321Z', '2025-01-11T11:21:59.512887Z', '2025-01-11T02:25:29.622561Z', '2025-01-11T02:09:49.209156Z', '2025-01-11T02:02:54.920824Z', '2025-01-11T01:57:01.921141Z', '2025-01-11T01:45:09.028929Z', '2025-01-11T00:11:13.916617Z']}"
1181,Club Penguin Reloaded,"{'challenge_name': ['Racing 2', 'Baby Pwn 2', 'Out of the Container', 'Racing', 'Surgery', 'Scavenger Hunt', 'Math Test', 'Baby Pwn', 'Sanity Check'], 'challenge_category': ['Misc', 'Pwn', 'Misc', 'Misc', 'Misc', 'Web', 'Misc', 'Pwn', 'Misc'], 'challenge_points': ['155', '100', '326', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T21:34:20.737563Z', '2025-01-12T19:24:35.477294Z', '2025-01-12T17:29:35.005376Z', '2025-01-11T05:29:24.659964Z', '2025-01-11T05:00:16.491151Z', '2025-01-11T04:36:20.230450Z', '2025-01-11T04:06:52.356658Z', '2025-01-11T00:53:14.342232Z', '2025-01-11T00:04:30.710853Z']}"
1173,burgerz,"{'challenge_name': ['Baby Pwn', 'Racing 2', 'Racing', 'Surgery', 'POOF', 'Funny Cipher', 'Decrypt Me', 'Scavenger Hunt', 'Math Test', 'Sanity Check'], 'challenge_category': ['Pwn', 'Misc', 'Misc', 'Misc', 'Forensics', 'Crypto', 'Forensics', 'Web', 'Misc', 'Misc'], 'challenge_points': ['100', '155', '100', '100', '100', '100', '218', '100', '100', '100'], 'solve_time': ['2025-01-11T16:52:19.134631Z', '2025-01-11T10:10:51.497767Z', '2025-01-11T09:03:35.172929Z', '2025-01-11T08:53:23.544525Z', '2025-01-11T07:27:01.339060Z', '2025-01-11T06:18:25.623733Z', '2025-01-11T02:19:50.596692Z', '2025-01-11T01:08:19.861222Z', '2025-01-11T01:07:18.882309Z', '2025-01-11T00:08:14.353105Z']}"
1163,Ekho,"{'challenge_name': ['Enchanted Oracle', 'POOF', 'Baby Pwn 2', 'Funny Cipher', 'Baby Pwn', 'Scavenger Hunt', 'Racing', 'Math Test', 'Sanity Check', 'Surgery'], 'challenge_category': ['Crypto', 'Forensics', 'Pwn', 'Crypto', 'Pwn', 'Web', 'Misc', 'Misc', 'Misc', 'Misc'], 'challenge_points': ['263', '100', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-11T18:17:23.131339Z', '2025-01-11T17:10:07.375362Z', '2025-01-11T15:05:40.563752Z', '2025-01-11T14:50:17.596277Z', '2025-01-11T13:49:53.633350Z', '2025-01-11T13:42:30.374699Z', '2025-01-11T13:20:32.312036Z', '2025-01-11T13:06:15.125781Z', '2025-01-11T12:47:34.591664Z', '2025-01-11T12:45:32.727099Z']}"
1163,tonimacaroni,"{'challenge_name': ['Prismatic Blogs', 'POOF', 'Enchanted Oracle', 'Racing', 'Surgery', 'Math Test', 'Baby Pwn', 'Scavenger Hunt', 'Funny Cipher', 'Sanity Check'], 'challenge_category': ['Web', 'Forensics', 'Crypto', 'Misc', 'Misc', 'Misc', 'Pwn', 'Web', 'Crypto', 'Misc'], 'challenge_points': ['100', '100', '263', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T15:42:40.370289Z', '2025-01-12T05:06:08.940352Z', '2025-01-12T02:13:19.087469Z', '2025-01-11T06:14:19.223284Z', '2025-01-11T06:01:20.813816Z', '2025-01-11T05:44:24.683358Z', '2025-01-11T04:52:31.942004Z', '2025-01-11T02:01:44.304858Z', '2025-01-11T01:03:24.198265Z', '2025-01-11T00:07:01.820430Z']}"
1155,MQCyberSec,"{'challenge_name': ['Racing 2', 'Racing', 'Prismatic Blogs', 'Funny Cipher', 'Baby Pwn 2', 'Surgery', 'Baby Pwn', 'Math Test', 'POOF', 'Scavenger Hunt', 'Sanity Check'], 'challenge_category': ['Misc', 'Misc', 'Web', 'Crypto', 'Pwn', 'Misc', 'Pwn', 'Misc', 'Forensics', 'Web', 'Misc'], 'challenge_points': ['155', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T10:45:32.859602Z', '2025-01-12T10:29:07.976216Z', '2025-01-12T09:23:21.424571Z', '2025-01-12T02:33:58.162698Z', '2025-01-11T13:11:44.771534Z', '2025-01-11T11:24:38.799890Z', '2025-01-11T11:07:12.415250Z', '2025-01-11T03:24:49.513414Z', '2025-01-11T02:21:28.009999Z', '2025-01-11T01:11:58.573404Z', '2025-01-11T00:58:24.011564Z']}"
