,Team,Challenges
10,Drovosec,"{'challenge_name': ['Sanity check', 'Get Flag Yourself', 'Scratch ERCode', 'Custom Web Server (1)', 'New Free Lunch', 'Almost DSA', 'Custom Web Server (2)', 'RSA LCG (0)', 'Baby Cracker', 'Cyp.ress', 'Morph', 'ChatGGT (1)', 'Void', 'Pigeon Post (1)', ""Mystiz's Mini CTF (1)"", 'Webpage to PDF (1)', 'Cook book', 'Flag Checker', 'Webpage to PDF (2)', 'mAEStro (1): Sample', 'B6ACP', ""Mystiz's Mini CTF (2)"", '⚡', 'Black Magic', 'JSPyaml', 'RSA LCG (1)', 'ISA 101', 'Yet another crackme', 'Feedback', 'Postfix expression calculator', 'MBTI Radar', 'Flag hasher', 'Shellcode Runner 3', 'Shellcode Runner 3 Revenge', 'One Way Room', ""Where's the APT Attack (1)"", 'Pigeon Post (2)'], 'challenge_points': ['10', '50', '200', '150', '100', '100', '300', '100', '100', '200', '300', '100', '100', '100', '200', '150', '250', '200', '150', '250', '100', '100', '450', '400', '400', '300', '200', '100', '10', '220', '500', '100', '300', '150', '150', '150', '250'], 'challenge_score': '6990'}"
11,O0007 - AUTOEXEC.BAT,"{'challenge_name': ['RSA LCG (0)', 'Get Flag Yourself', 'New Free Lunch', 'Crack the Pack (Ⅰ): Head and Shoulders', 'ISH (1)', 'Almost DSA', 'Baby Cracker', 'ISA 101', 'ChatGGT (1)', 'Morph', 'Sanity check', ""Where's the APT Attack (1)"", 'Cyp.ress', 'Scratch ERCode', 'One Way Room', 'Custom Web Server (1)', 'Void', 'Yet another crackme', 'Pigeon Post (1)', 'Webpage to PDF (1)', 'My Lovely Cats', 'B6ACP', 'Webpage to PDF (2)', 'Pigeon Post (2)', 'Shellcode Runner 3', 'Hearing Check', 'Flag hasher', 'Jane Streak Amateurs', 'Cook book', ""Mystiz's Mini CTF (1)"", 'Shellcode Runner 3 Revenge', 'Flag Checker', ""Mystiz's Mini CTF (2)"", 'Feedback', 'Crack the Pack (Ⅱ): Knees and Toes', 'MBTI Radar', 'mAEStro (1): Sample', 'Bashed!'], 'challenge_points': ['100', '50', '100', '200', '200', '100', '100', '200', '100', '300', '10', '150', '200', '200', '150', '150', '100', '100', '100', '150', '200', '100', '150', '250', '300', '100', '100', '150', '250', '200', '150', '200', '100', '10', '375', '500', '250', '500'], 'challenge_score': '6645'}"
12,jinmo123,"{'challenge_name': ['Cyp.ress', 'Baby Cracker', 'Custom Web Server (1)', 'ISA 101', 'Morph', 'New Free Lunch', 'Bashed!', 'MBTI Radar', 'ChatGGT (1)', 'ISH (1)', 'ISH (2)', 'ISH (3)', 'JSPyaml', 'Almost DSA', 'Pigeon Post (1)', ""Mystiz's Mini CTF (1)"", ""Mystiz's Mini CTF (2)"", 'Flag hasher', 'Shellcode Runner 3', 'Shellcode Runner 3 Revenge', 'B6ACP', 'Webpage to PDF (1)', 'Void', 'ChatGGT (2)', '⚡', 'Postfix expression calculator', 'Yet another crackme', 'Flipper Hero', 'RSA LCG (0)', ""Where's the APT Attack (1)""], 'challenge_points': ['200', '100', '150', '200', '300', '100', '500', '500', '100', '200', '350', '500', '400', '100', '100', '200', '100', '100', '300', '150', '100', '150', '100', '230', '450', '220', '100', '250', '100', '150'], 'challenge_score': '6500'}"
13,Ph0ny,"{'challenge_name': ['Sanity check', 'Baby Cracker', 'Cyp.ress', 'One Way Room', 'Get Flag Yourself', 'New Free Lunch', ""Where's the APT Attack (1)"", 'ChatGGT (1)', 'Custom Web Server (1)', 'Scratch ERCode', 'RSA LCG (0)', 'Yet another crackme', 'B6ACP', 'My Lovely Cats', 'Webpage to PDF (1)', 'Void', 'Pigeon Post (1)', 'Hearing Check', 'Flag hasher', 'Feedback', 'Morph', 'Pigeon Post (2)', 'RSA LCG (3)', 'Bashed!', 'Cook book', 'Postfix expression calculator', 'Shellcode Runner 3', 'ISA 101', ""Mystiz's Mini CTF (2)"", 'Flag Checker', 'ISH (1)', ""Mystiz's Mini CTF (1)"", 'Crack the Pack (Ⅰ): Head and Shoulders', 'Jane Streak Amateurs', 'Python Calculator 2', 'RSA LCG (2)'], 'challenge_points': ['10', '100', '200', '150', '50', '100', '150', '100', '150', '200', '100', '100', '100', '200', '150', '100', '100', '100', '100', '10', '300', '250', '200', '500', '250', '220', '300', '200', '100', '200', '200', '200', '200', '150', '400', '400'], 'challenge_score': '6340'}"
14,Echo,"{'challenge_name': ['Get Flag Yourself', 'New Free Lunch', 'Sanity check', ""Where's the APT Attack (1)"", 'One Way Room', 'Custom Web Server (1)', 'Webpage to PDF (1)', 'Yet another crackme', 'RSA LCG (0)', 'My Lovely Cats', 'B6ACP', 'Cook book', 'Hearing Check', 'Postfix expression calculator', 'RSA LCG (3)', 'Pigeon Post (2)', 'Feedback', 'Scratch ERCode', 'Void', ""Mystiz's Mini CTF (2)"", 'ISH (1)', ""Mystiz's Mini CTF (1)"", 'Jane Streak Amateurs', 'Crack the Pack (Ⅰ): Head and Shoulders', 'Flag hasher', 'Python Calculator 2', 'RSA LCG (2)', 'Pigeon Post (1)', 'ChatGGT (1)', 'Cyp.ress', 'ISA 101', 'Shellcode Runner 3', 'Flag Checker', 'Morph', 'Baby Cracker', 'Bashed!'], 'challenge_points': ['50', '100', '10', '150', '150', '150', '150', '100', '100', '200', '100', '250', '100', '220', '200', '250', '10', '200', '100', '100', '200', '200', '150', '200', '100', '400', '400', '100', '100', '200', '200', '300', '200', '300', '100', '500'], 'challenge_score': '6340'}"
15,T0037 - Google Or Mushroom,"{'challenge_name': ['Sanity check', 'RSA LCG (0)', 'Cyp.ress', 'New Free Lunch', 'Scratch ERCode', 'Postfix expression calculator', 'Almost DSA', ""Where's the APT Attack (1)"", 'ISA 101', 'Baby Cracker', 'ChatGGT (1)', 'Get Flag Yourself', 'One Way Room', 'ISH (1)', 'Custom Web Server (1)', 'RSA LCG (1)', 'Webpage to PDF (1)', 'Pigeon Post (1)', 'ISH (2)', 'Void', 'Flag hasher', 'Yet another crackme', 'B6ACP', 'My Lovely Cats', 'Cook book', 'Hearing Check', 'Shellcode Runner 3', 'Feedback', 'Shellcode Runner 3 Revenge', 'ChatGGT (2)', 'Jane Streak Amateurs', 'mAEStro (1): Sample', 'Morph', 'Flag Checker', 'ISH (3)', 'Crack the Pack (Ⅰ): Head and Shoulders'], 'challenge_points': ['10', '100', '200', '100', '200', '220', '100', '150', '200', '100', '100', '50', '150', '200', '150', '300', '150', '100', '350', '100', '100', '100', '100', '200', '250', '100', '300', '10', '150', '230', '150', '250', '300', '200', '500', '200'], 'challenge_score': '6170'}"
16,T0027 - Students Taking Flags United,"{'challenge_name': ['Sanity check', 'Get Flag Yourself', 'New Free Lunch', ""Where's the APT Attack (1)"", 'ChatGGT (1)', 'Almost DSA', 'Baby Cracker', 'Scratch ERCode', 'My Lovely Cats', 'Tuning Keyboard 5.5', 'One Way Room', 'ISA 101', 'Webpage to PDF (2)', 'RSA LCG (3)', 'Flag hasher', 'Void', 'RSA LCG (0)', 'Pigeon Post (1)', ""Mystiz's Mini CTF (2)"", 'B6ACP', 'Yet another crackme', 'Cook book', 'Feedback', 'Jane Streak Amateurs', 'Hearing Check', 'Webpage to PDF (1)', 'ISH (1)', ""Mystiz's Mini CTF (1)"", 'Morph', 'RSA LCG (1)', 'Crack the Pack (Ⅰ): Head and Shoulders', 'Tuning Keyboard 5', 'Custom Web Server (1)', 'Cyp.ress', 'Flag Checker', 'Pigeon Post (2)', 'JSPyaml'], 'challenge_points': ['10', '50', '100', '150', '100', '100', '100', '200', '200', '444', '150', '200', '150', '200', '100', '100', '100', '100', '100', '100', '100', '250', '10', '150', '100', '150', '200', '200', '300', '300', '200', '255', '150', '200', '200', '250', '400'], 'challenge_score': '6169'}"
17,T0051 - PwnStars,"{'challenge_name': ['Sanity check', 'Scratch ERCode', 'Get Flag Yourself', 'New Free Lunch', 'Cyp.ress', 'One Way Room', 'ChatGGT (1)', 'Baby Cracker', 'Almost DSA', 'RSA LCG (0)', ""Where's the APT Attack (1)"", 'ISA 101', 'Custom Web Server (1)', 'Crack the Pack (Ⅰ): Head and Shoulders', 'ISH (1)', 'B6ACP', 'Pigeon Post (1)', 'Webpage to PDF (1)', 'Postfix expression calculator', 'Void', 'Flag hasher', 'Yet another crackme', 'My Lovely Cats', 'Hearing Check', ""Mystiz's Mini CTF (2)"", 'Jane Streak Amateurs', ""Mystiz's Mini CTF (1)"", 'Morph', 'Feedback', 'Cook book', 'JSPyaml', 'Flag Checker', 'Crack the Pack (Ⅱ): Knees and Toes', 'Shellcode Runner 3', 'mAEStro (1): Sample', 'Webpage to PDF (2)'], 'challenge_points': ['10', '200', '50', '100', '200', '150', '100', '100', '100', '100', '150', '200', '150', '200', '200', '100', '100', '150', '220', '100', '100', '100', '200', '100', '100', '150', '200', '300', '10', '250', '400', '200', '375', '300', '250', '150'], 'challenge_score': '5865'}"
18,Phish Paprikash,"{'challenge_name': ['Sanity check', 'RSA LCG (0)', 'Custom Web Server (1)', 'Almost DSA', 'New Free Lunch', 'Get Flag Yourself', 'ChatGGT (1)', 'Baby Cracker', 'ISH (1)', 'ISA 101', ""Where's the APT Attack (1)"", 'Cyp.ress', 'Scratch ERCode', 'RSA LCG (1)', 'ISH (2)', 'Pigeon Post (1)', 'Crack the Pack (Ⅰ): Head and Shoulders', 'mAEStro (1): Sample', 'ISH (3)', 'Webpage to PDF (1)', 'Postfix expression calculator', 'Yet another crackme', 'Void', 'B6ACP', 'Shellcode Runner 3', 'Flag hasher', 'My Lovely Cats', ""Mystiz's Mini CTF (2)"", 'Feedback', 'Shellcode Runner 3 Revenge', ""Mystiz's Mini CTF (1)"", 'ChatGGT (2)', 'Hearing Check'], 'challenge_points': ['10', '100', '150', '100', '100', '50', '100', '100', '200', '200', '150', '200', '200', '300', '350', '100', '200', '250', '500', '150', '220', '100', '100', '100', '300', '100', '200', '100', '10', '150', '200', '230', '100'], 'challenge_score': '5420'}"
19,T0056 - NuttyShell,"{'challenge_name': ['Sanity check', 'Get Flag Yourself', 'Scratch ERCode', 'New Free Lunch', 'One Way Room', 'ChatGGT (1)', 'Morph', 'My Lovely Cats', 'Webpage to PDF (1)', 'Void', 'Hearing Check', 'Jane Streak Amateurs', 'Cyp.ress', 'Crack the Pack (Ⅰ): Head and Shoulders', 'Yet another crackme', 'mAEStro (1): Sample', 'Pigeon Post (1)', 'Custom Web Server (1)', 'JSPyaml', 'Cook book', 'Feedback', 'Black C2', 'Baby Cracker', 'Almost DSA', 'RSA LCG (0)', ""Mystiz's Mini CTF (2)"", 'B6ACP', 'Flag hasher', ""Where's the APT Attack (1)"", 'Webpage to PDF (2)', ""Mystiz's Mini CTF (1)"", 'ISA 101', 'ISH (1)'], 'challenge_points': ['10', '50', '200', '100', '150', '100', '300', '200', '150', '100', '100', '150', '200', '200', '100', '250', '100', '150', '400', '250', '10', '400', '100', '100', '100', '100', '100', '100', '150', '150', '200', '200', '200'], 'challenge_score': '5170'}"
