name,points,challenges
N1STAR,6265.6,"{'challenge_name': ['portable', 'chase', 'obfuscator', 'linuxpdf', 'magicfile', 'stone-game', 'encrypted chat', 'randomized random', 'nanonymous msg', 'baby layout', 'safe layout', 'safe layout revenge', 'raenil', 'nanonymous spam', 'welcome', 'EzDB'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Crypto', 'Crypto', 'Crypto', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Misc', 'Pwn'], 'challenge_points': ['357', '303', '714', '327', '571', '327', '588', '416', '571', '200', '289', '416', '246', '526', '59', '285']}"
天枢Dubhe,6152.02,"{'challenge_name': ['portable', 'chase', 'linuxpdf', 'stone-game', 'encrypted chat', 'randomized random', 'baby layout', 'safe layout', 'supersqli', 'thumbor 1', 'thumbor 2', 'safe layout revenge', 'raenil', 'nanonymous spam', 'welcome', 'EzDB'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Crypto', 'Crypto', 'Web', 'Web', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Misc', 'Pwn'], 'challenge_points': ['357', '303', '327', '327', '588', '416', '200', '289', '357', '645', '769', '416', '246', '526', '59', '285']}"
Scr1w,5838,"{'challenge_name': ['portable', 'chase', 'linuxpdf', 'magicfile', 'stone-game', 'encrypted chat', 'randomized random', 'nanonymous msg', 'baby layout', 'safe layout', 'supersqli', 'safe layout revenge', 'raenil', 'nanonymous spam', 'welcome', 'EzDB'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Crypto', 'Crypto', 'Crypto', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Misc', 'Pwn'], 'challenge_points': ['357', '303', '327', '571', '327', '588', '416', '571', '200', '289', '357', '416', '246', '526', '59', '285']}"
XMCVE-Polaris,5422,"{'challenge_name': ['portable', 'chase', 'linuxpdf', 'magicfile', 'stone-game', 'randomized random', 'nanonymous msg', 'baby layout', 'safe layout', 'supersqli', 'raenil', 'nanonymous spam', 'welcome', 'EzDB', 'where is my rop'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Crypto', 'Crypto', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Misc', 'Pwn', 'Pwn'], 'challenge_points': ['357', '303', '327', '571', '327', '416', '571', '200', '289', '357', '246', '526', '59', '285', '588']}"
Arr3stY0u,5126.8,"{'challenge_name': ['portable', 'chase', 'obfuscator', 'linuxpdf', 'magicfile', 'stone-game', 'baby layout', 'safe layout', 'supersqli', 'safe layout revenge', 'raenil', 'welcome', 'EzDB', 'where is my rop'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Pwn', 'Pwn'], 'challenge_points': ['357', '303', '714', '327', '571', '327', '200', '289', '357', '416', '246', '59', '285', '588']}"
AAA,5045.62,"{'challenge_name': ['portable', 'linuxpdf', 'stone-game', 'encrypted chat', 'randomized random', 'nanonymous msg', 'baby layout', 'safe layout', 'supersqli', 'safe layout revenge', 'raenil', 'welcome', 'EzDB', 'where is my rop'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Crypto', 'Crypto', 'Crypto', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Pwn', 'Pwn'], 'challenge_points': ['357', '327', '327', '588', '416', '571', '200', '289', '357', '416', '246', '59', '285', '588']}"
Xp0int,4920.48,"{'challenge_name': ['portable', 'chase', 'linuxpdf', 'stone-game', 'nanonymous msg', 'baby layout', 'safe layout', 'supersqli', 'thumbor 1', 'safe layout revenge', 'raenil', 'nanonymous spam', 'welcome', 'EzDB'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Crypto', 'Web', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Misc', 'Pwn'], 'challenge_points': ['357', '303', '327', '327', '571', '200', '289', '357', '645', '416', '246', '526', '59', '285']}"
IronW0lf,4866.32,"{'challenge_name': ['chase', 'linuxpdf', 'stone-game', 'baby layout', 'safe layout', 'supersqli', 'thumbor 1', 'thumbor 2', 'safe layout revenge', 'raenil', 'welcome', 'EzDB', 'where is my rop'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Web', 'Web', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Pwn', 'Pwn'], 'challenge_points': ['303', '327', '327', '200', '289', '357', '645', '769', '416', '246', '59', '285', '588']}"
Vidar-Team,4866,"{'challenge_name': ['portable', 'chase', 'linuxpdf', 'magicfile', 'stone-game', 'baby layout', 'safe layout', 'supersqli', 'thumbor 1', 'thumbor 2', 'safe layout revenge', 'raenil', 'welcome'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Web', 'Web', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc'], 'challenge_points': ['357', '303', '327', '571', '327', '200', '289', '357', '645', '769', '416', '246', '59']}"
0psu3,4741,"{'challenge_name': ['portable', 'chase', 'linuxpdf', 'magicfile', 'stone-game', 'randomized random', 'baby layout', 'safe layout', 'supersqli', 'safe layout revenge', 'raenil', 'welcome', 'EzDB', 'where is my rop'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Crypto', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Pwn', 'Pwn'], 'challenge_points': ['357', '303', '327', '571', '327', '416', '200', '289', '357', '416', '246', '59', '285', '588']}"
