name,points,challenges
The Salad Stream Gang,717,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
poiko,698,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Wild Raptors from X-Valley,673,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
azaliż PIN CFG?,548,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
서울대 존잘남 히히망함,543,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
hard_to_try,542,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
https://www.wildberries.ru/catalog/19252625/detail.aspx,542,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
sknb,542,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Never :q!,517,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
C4ptur3Th3Fr0g,507,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Escape,507,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Great Plains,498,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
The Fearless Nevada Sheriffs,498,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
defragmented.brains,493,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Abracada,492,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
L0stAx3s & SIGAN,443,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
🔪 LAB 💀 IV  🌵,443,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Nadeem Farmers,443,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Old Wild Würth,418,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Marcio e os Creepers,418,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
0xHUST,418,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
N1uZ4i,417,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Perperikon,417,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
The NullSet Wranglers' Club,417,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Hakierspejs,417,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
SomeShiftsHappen,417,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Peacemakers Of Binary Anarchy,408,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
soon_haari solo play with beer,407,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
mmc🐛,401,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Uncle Moistburger,400,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Sundown Triggerhappy Throwdown,399,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
rootin tootin coot,376,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Slightly Smiling Sheriff,342,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
saloon2042,342,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Leet Puppets,342,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
I believe in LVH supremacy,342,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Gun Ash,318,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
NuttyShell,318,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Old Time Pyry,318,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
