name,points,challenges
valgrind,3455,"{'challenge_name': ['rubiks-dsa', 'secure-snek', 'pwny-heap', 'secure-sandbox', 'storycreator', 'mvmcheckers-inc', 'trophy-plus', 'hydraulic-press', 'redacted', 'count-the-mvms', 'kittyconvert', 'foundations', 'trophy-plus64', 'fastcrypto', 'devnull-as-a-service', 'curved-mvm', 'sourceless-crypto', 'man-vs-matrix', 'pickle-season', 'submission', 'notcrypto', 'p11n-trophy', 'mvm'], 'solve_time': ['Sun 22:14:44', 'Sun 16:50:07', 'Sun 08:15:19', 'Sun 06:59:02', 'Sun 01:56:58', 'Sat 23:56:49', 'Sat 22:15:07', 'Sat 20:22:40', 'Sat 18:12:29', 'Sat 17:22:27', 'Sat 12:57:02', 'Sat 12:55:13', 'Sat 11:36:49', 'Sat 07:26:37', 'Sat 06:12:18', 'Sat 05:56:43', 'Sat 04:58:14', 'Sat 04:44:39', 'Sat 04:08:26', 'Sat 01:44:07', 'Sat 01:09:46', 'Fri 23:51:41', 'Fri 23:43:53']}"
r4kapig,2772,"{'challenge_name': ['secure-snek', 'fastcrypto', 'submission', 'keystore-rs', 'pwny-heap', 'secure-sandbox', 'netmsg-2', 'netmsg-1', 'oh-my-gadt', 'mvmcheckers-inc', 'pickle-season', 'curved-mvm', 'notcrypto', 'mvm', 'man-vs-matrix', 'foundations', 'trophy-plus64', 'sourceless-crypto', 'devnull-as-a-service', 'p11n-trophy'], 'solve_time': ['Sun 18:31:41', 'Sun 16:23:17', 'Sun 14:00:44', 'Sun 10:43:20', 'Sun 10:40:33', 'Sun 09:48:00', 'Sun 09:41:44', 'Sat 21:37:31', 'Sat 18:20:36', 'Sat 15:11:01', 'Sat 14:00:03', 'Sat 09:04:47', 'Sat 08:58:24', 'Sat 08:13:25', 'Sat 08:05:13', 'Sat 07:53:54', 'Sat 07:39:38', 'Sat 07:26:38', 'Sat 00:46:39', 'Fri 23:55:12']}"
b01lers,2522,"{'challenge_name': ['much-vulnerable-machine-2', 'babyrng', 'much-vulnerable-machine-1', 'secure-snek', 'fastcrypto', 'submission', 'omnibius', 'curved-mvm', 'hydraulic-press', 'trophy-plus64', 'trophy-plus', 'pickle-season', 'devnull-as-a-service', 'sourceless-crypto', 'man-vs-matrix', 'mvm', 'notcrypto', 'p11n-trophy', 'foundations'], 'solve_time': ['Sun 23:16:21', 'Sun 17:05:35', 'Sun 12:48:05', 'Sun 04:21:49', 'Sun 01:12:24', 'Sat 23:59:44', 'Sat 21:07:23', 'Sat 11:29:10', 'Sat 07:48:01', 'Sat 07:40:04', 'Sat 07:17:25', 'Sat 06:02:26', 'Sat 02:40:47', 'Sat 02:29:32', 'Sat 01:16:48', 'Sat 00:22:07', 'Sat 00:13:46', 'Fri 23:36:24', 'Fri 23:35:52']}"
CrOwOatia,2493,"{'challenge_name': ['omnibius', 'oh-my-gadt', 'secure-snek', 'mvmcheckers-inc', 'much-vulnerable-machine-1', 'redacted', 'hydraulic-press', 'kittyconvert', 'devnull-as-a-service', 'curved-mvm', 'sourceless-crypto', 'man-vs-matrix', 'submission', 'notcrypto', 'foundations', 'trophy-plus64', 'pickle-season', 'p11n-trophy', 'mvm'], 'solve_time': ['Sun 22:11:11', 'Sun 21:04:56', 'Sun 04:28:26', 'Sun 04:17:13', 'Sun 03:40:28', 'Sat 23:05:16', 'Sat 23:02:36', 'Sat 20:43:51', 'Sat 19:12:07', 'Sat 16:41:32', 'Sat 15:58:37', 'Sat 13:48:32', 'Sat 08:04:42', 'Sat 04:09:54', 'Sat 01:19:27', 'Sat 00:45:11', 'Sat 00:20:49', 'Fri 23:50:38', 'Fri 23:38:19']}"
".;,;.",2483,"{'challenge_name': ['pwny-heap', 'secure-sandbox', 'netmsg-2', 'netmsg-1', 'omnibius', 'trophy-plus64', 'redacted', 'oh-my-gadt', 'trophy-plus', 'babyrng', 'pickle-season', 'man-vs-matrix', 'foundations', 'sourceless-crypto', 'devnull-as-a-service', 'notcrypto', 'curved-mvm', 'p11n-trophy', 'mvm'], 'solve_time': ['Sun 05:24:16', 'Sun 04:14:30', 'Sun 03:53:05', 'Sun 03:33:51', 'Sat 13:23:31', 'Sat 09:55:53', 'Sat 09:45:15', 'Sat 09:20:26', 'Sat 08:28:06', 'Sat 06:21:27', 'Sat 05:44:08', 'Sat 04:43:04', 'Sat 03:08:06', 'Sat 02:39:57', 'Sat 02:29:08', 'Sat 01:58:49', 'Sat 01:52:42', 'Sat 01:21:10', 'Sat 00:38:16']}"
Shellphish,2400,"{'challenge_name': ['trophy-plus64', 'sourceless-crypto', 'hydraulic-press', 'man-vs-matrix', 'omnibius', 'secure-snek', 'mvmcheckers-inc', 'oh-my-gadt', 'secure-sandbox', 'pwny-heap', 'kittyconvert', 'submission', 'foundations', 'notcrypto', 'netmsg-1', 'pickle-season', 'devnull-as-a-service', 'p11n-trophy', 'mvm'], 'solve_time': ['Sun 13:03:33', 'Sun 12:57:12', 'Sun 10:47:31', 'Sun 08:02:10', 'Sun 06:13:44', 'Sun 05:57:46', 'Sun 05:57:44', 'Sun 04:06:55', 'Sun 02:47:35', 'Sun 00:53:44', 'Sat 17:52:34', 'Sat 12:49:54', 'Sat 03:30:27', 'Sat 03:22:05', 'Sat 01:00:52', 'Sat 00:31:04', 'Sat 00:15:58', 'Sat 00:08:57', 'Fri 23:54:05']}"
Maple Bacon,2373,"{'challenge_name': ['pwny-heap', 'mvmcheckers-inc', 'rubiks-dsa', 'oh-my-gadt', 'pickle-season', 'secure-sandbox', 'submission', 'curved-mvm', 'devnull-as-a-service', 'babyrng', 'omnibius', 'sourceless-crypto', 'mvm', 'notcrypto', 'trophy-plus64', 'hydraulic-press', 'p11n-trophy', 'foundations', 'man-vs-matrix'], 'solve_time': ['Sun 15:34:54', 'Sun 08:15:56', 'Sun 08:11:29', 'Sun 06:43:51', 'Sun 04:31:59', 'Sun 04:28:55', 'Sat 15:36:08', 'Sat 14:29:38', 'Sat 13:50:47', 'Sat 13:35:43', 'Sat 13:28:08', 'Sat 12:04:03', 'Sat 11:37:09', 'Sat 11:35:24', 'Sat 08:46:52', 'Sat 08:26:18', 'Sat 08:14:48', 'Sat 07:53:27', 'Sat 07:40:50']}"
Black Bauhinia,2369,"{'challenge_name': ['netmsg-1', 'oh-my-gadt', 'curved-mvm', 'rubiks-dsa', 'blogdog', 'kittyconvert', 'pickle-season', 'devnull-as-a-service', 'trophy-plus', 'submission', 'trophy-plus64', 'notcrypto', 'sourceless-crypto', 'man-vs-matrix', 'fastcrypto', 'mvm', 'foundations', 'p11n-trophy'], 'solve_time': ['Sun 23:13:39', 'Sun 20:17:59', 'Sun 17:25:35', 'Sun 14:41:42', 'Sun 10:30:31', 'Sat 18:13:09', 'Sat 17:04:12', 'Sat 14:52:13', 'Sat 14:14:01', 'Sat 14:00:31', 'Sat 12:15:15', 'Sat 08:18:43', 'Sat 02:14:40', 'Sat 00:50:59', 'Sat 00:15:31', 'Sat 00:00:39', 'Fri 23:47:45', 'Fri 23:41:29']}"
S1uM4i,2344,"{'challenge_name': ['keystore-rs', 'secure-snek', 'secure-sandbox', 'pwny-heap', 'babyrng', 'hydraulic-press', 'fastcrypto', 'sourceless-crypto', 'foundations', 'oh-my-gadt', 'curved-mvm', 'devnull-as-a-service', 'pickle-season', 'man-vs-matrix', 'mvm', 'notcrypto', 'p11n-trophy'], 'solve_time': ['Sun 19:31:02', 'Sun 18:17:24', 'Sun 13:45:25', 'Sun 06:48:26', 'Sat 22:33:56', 'Sat 22:06:29', 'Sat 14:34:19', 'Sat 13:42:16', 'Sat 11:14:44', 'Sat 10:44:25', 'Sat 09:14:58', 'Sat 05:31:46', 'Sat 02:29:54', 'Sat 01:43:46', 'Sat 00:41:48', 'Sat 00:37:02', 'Fri 23:52:48']}"
sillyteam,2342,"{'challenge_name': ['sourceless-crypto', 'trophy-plus', 'curved-mvm', 'much-vulnerable-machine-1', 'devnull-as-a-service', 'blogdog', 'notcrypto', 'mvmcheckers-inc', 'kittyconvert', 'count-the-mvms', 'mvm', 'redacted', 'pickle-season', 'trophy-plus64', 'submission', 'p11n-trophy', 'foundations'], 'solve_time': ['Sun 20:41:31', 'Sun 04:50:09', 'Sun 02:24:21', 'Sun 01:42:39', 'Sat 23:54:58', 'Sat 20:08:47', 'Sat 16:49:59', 'Sat 11:28:24', 'Sat 08:30:59', 'Sat 06:49:54', 'Sat 04:43:14', 'Sat 04:31:20', 'Sat 03:07:34', 'Sat 01:23:48', 'Sat 01:20:58', 'Sat 00:01:36', 'Fri 23:45:17']}"
LSE,2082,"{'challenge_name': ['much-vulnerable-machine-3', 'submission', 'trophy-plus64', 'man-vs-matrix', 'pickle-season', 'pwny-heap', 'secure-sandbox', 'much-vulnerable-machine-2', 'much-vulnerable-machine-1', 'notcrypto', 'devnull-as-a-service', 'p11n-trophy', 'curved-mvm', 'sourceless-crypto', 'mvm', 'foundations'], 'solve_time': ['Sun 23:26:32', 'Sun 22:13:16', 'Sun 22:08:01', 'Sun 20:59:50', 'Sun 06:25:14', 'Sun 06:13:30', 'Sun 06:06:58', 'Sun 04:36:55', 'Sun 03:06:35', 'Sat 23:08:28', 'Sat 22:54:36', 'Sat 04:28:14', 'Sat 04:21:53', 'Sat 02:31:29', 'Sat 00:17:36', 'Fri 23:49:11']}"
SleepyHollow,2002,"{'challenge_name': ['trophy-plus64', 'trophy-plus', 'fastcrypto', 'curved-mvm', 'netmsg-2', 'oh-my-gadt', 'man-vs-matrix', 'secure-sandbox', 'pickle-season', 'pwny-heap', 'netmsg-1', 'foundations', 'submission', 'notcrypto', 'p11n-trophy', 'devnull-as-a-service', 'mvm'], 'solve_time': ['Sun 22:44:47', 'Sun 22:23:31', 'Sun 21:41:09', 'Sun 20:58:44', 'Sun 20:36:29', 'Sun 20:32:33', 'Sun 19:36:31', 'Sun 02:53:24', 'Sun 01:45:35', 'Sun 00:24:10', 'Sat 19:34:14', 'Sat 05:03:54', 'Sat 03:05:31', 'Sat 03:01:54', 'Sat 00:20:04', 'Sat 00:03:28', 'Fri 23:49:17']}"
> r0/dev/null,1924,"{'challenge_name': ['secure-sandbox', 'redacted', 'netmsg-2', 'mvmcheckers-inc', 'curved-mvm', 'netmsg-1', 'man-vs-matrix', 'kittyconvert', 'pickle-season', 'trophy-plus64', 'devnull-as-a-service', 'notcrypto', 'submission', 'mvm', 'foundations', 'p11n-trophy'], 'solve_time': ['Sun 20:46:46', 'Sun 18:30:15', 'Sun 03:37:43', 'Sun 02:32:42', 'Sat 22:45:45', 'Sat 22:06:42', 'Sat 20:37:32', 'Sat 20:08:43', 'Sat 04:43:21', 'Sat 04:01:38', 'Sat 02:51:48', 'Sat 01:35:02', 'Sat 01:07:14', 'Fri 23:58:36', 'Fri 23:37:45', 'Fri 23:36:08']}"
exe2py,1901,"{'challenge_name': ['redacted', 'trophy-plus', 'count-the-mvms', 'much-vulnerable-machine-1', 'trophy-plus64', 'man-vs-matrix', 'pickle-season', 'sourceless-crypto', 'omnibius', 'mvm', 'foundations', 'kittyconvert', 'submission', 'notcrypto', 'p11n-trophy'], 'solve_time': ['Sun 19:39:53', 'Sun 06:55:29', 'Sun 06:42:30', 'Sun 03:33:11', 'Sat 19:16:38', 'Sat 09:48:37', 'Sat 08:37:22', 'Sat 07:58:58', 'Sat 06:47:56', 'Sat 05:11:27', 'Sat 04:03:30', 'Sat 03:51:15', 'Sat 01:20:12', 'Sat 00:47:39', 'Fri 23:39:29']}"
ENOFLAG,1869,"{'challenge_name': ['sourceless-crypto', 'much-vulnerable-machine-1', 'devnull-as-a-service', 'pwny-heap', 'curved-mvm', 'man-vs-matrix', 'babyrng', 'omnibius', 'pickle-season', 'netmsg-1', 'hydraulic-press', 'mvm', 'foundations', 'submission', 'notcrypto', 'p11n-trophy'], 'solve_time': ['Sun 19:05:11', 'Sun 17:27:48', 'Sun 11:36:32', 'Sun 10:00:43', 'Sun 04:04:32', 'Sat 23:00:45', 'Sat 09:16:58', 'Sat 06:00:46', 'Sat 04:26:33', 'Sat 04:01:38', 'Sat 03:38:30', 'Sat 02:47:14', 'Sat 02:36:57', 'Sat 02:35:42', 'Sat 01:58:05', 'Sat 00:22:53']}"
HCST,1808,"{'challenge_name': ['secure-sandbox', 'sourceless-crypto', 'mvm', 'much-vulnerable-machine-2', 'rubiks-dsa', 'much-vulnerable-machine-1', 'babyrng', 'pickle-season', 'devnull-as-a-service', 'man-vs-matrix', 'notcrypto', 'curved-mvm', 'p11n-trophy'], 'solve_time': ['Sun 20:16:08', 'Sun 17:04:35', 'Sun 04:24:56', 'Sun 02:33:21', 'Sun 00:54:06', 'Sun 00:09:13', 'Sat 20:56:46', 'Sat 18:58:04', 'Sat 18:05:26', 'Sat 18:04:36', 'Sat 04:02:55', 'Fri 23:58:26', 'Fri 23:39:15']}"
ICEDTEA,1798,"{'challenge_name': ['rubiks-dsa', 'netmsg-1', 'fastcrypto', 'secure-sandbox', 'pickle-season', 'notcrypto', 'notcrypto', 'sourceless-crypto', 'trophy-plus64', 'trophy-plus', 'devnull-as-a-service', 'curved-mvm', 'submission', 'mvm', 'man-vs-matrix', 'foundations', 'p11n-trophy'], 'solve_time': ['Sun 20:41:07', 'Sun 18:11:58', 'Sun 14:55:49', 'Sun 13:39:41', 'Sun 12:55:36', 'Sat 22:57:21', 'Sat 22:57:21', 'Sat 20:43:03', 'Sat 20:28:18', 'Sat 19:11:06', 'Sat 18:50:56', 'Sat 17:33:46', 'Sat 15:34:00', 'Sat 13:23:14', 'Sat 11:38:10', 'Sat 10:34:18', 'Sat 10:00:29']}"
gimel,1717,"{'challenge_name': ['storycreator', 'babyrng', 'mvm', 'much-vulnerable-machine-1', 'curved-mvm', 'mvmcheckers-inc', 'man-vs-matrix', 'pickle-season', 'oh-my-gadt', 'submission', 'notcrypto', 'p11n-trophy'], 'solve_time': ['Sun 19:58:39', 'Sun 18:26:29', 'Sun 17:36:42', 'Sun 06:44:23', 'Sun 06:11:33', 'Sun 05:23:30', 'Sat 22:06:33', 'Sat 21:35:31', 'Sat 18:33:36', 'Sat 07:51:06', 'Sat 04:12:08', 'Sat 02:29:15']}"
Slovak Cyber Team,1664,"{'challenge_name': ['trophy-plus', 'trophy-plus64', 'secure-snek', 'secure-sandbox', 'pwny-heap', 'mvmcheckers-inc', 'kittyconvert', 'redacted', 'pickle-season', 'devnull-as-a-service', 'mvm', 'foundations', 'p11n-trophy'], 'solve_time': ['Sun 22:17:44', 'Sun 17:31:40', 'Sun 05:19:49', 'Sun 02:48:03', 'Sun 01:25:26', 'Sat 23:30:56', 'Sat 21:40:18', 'Sat 05:33:17', 'Sat 03:20:53', 'Sat 01:21:29', 'Sat 01:04:37', 'Sat 00:04:23', 'Fri 23:59:51']}"
