name,points,challenge
lab4,3447,"{'challenge_name': ['sprint-admin', 'breadcrumbs-1', 'ones-and-zeroes', 'abhor-re-nt', 'breadcrumbs-256', 'tick-tock', 'easy rsa', 'hard programming', 'talking-printer', 'calc', 'baby-vm', 'uncertain', 'interview', 'sprint-user', 'slow-down', 'baby pwn'], 'challenge_category': ['web', 'OSINT', 'misc', 'pwn', 'OSINT', 'pwn', 'crypto', 'misc', 'misc', 'web', 'rev', 'rev', 'misc', 'web', 'web', 'pwn'], 'challenge_points': ['50', '376', '419', '500', '156', '466', '50', '247', '232', '50', '437', '264', '50', '50', '50', '50'], 'solve_time': ['2025-03-23T18:35:45.244004Z', '2025-03-23T00:45:29.571612Z', '2025-03-22T21:26:33.882877Z', '2025-03-22T20:39:43.249483Z', '2025-03-22T18:58:26.398577Z', '2025-03-22T11:33:58.756328Z', '2025-03-22T00:49:16.119419Z', '2025-03-21T22:14:07.531400Z', '2025-03-21T21:19:53.520299Z', '2025-03-21T21:08:36.237448Z', '2025-03-21T21:01:20.533749Z', '2025-03-21T20:45:13.262919Z', '2025-03-21T20:20:10.537497Z', '2025-03-21T20:01:58.212833Z', '2025-03-21T19:48:22.920791Z', '2025-03-21T19:23:41.887582Z']}"
MindCrafters,3399,"{'challenge_name': ['Lost password', 'tick-tock', 'hard programming', 'breadcrumbs-256', 'breadcrumbs-1', 'ones-and-zeroes', 'talking-printer', 'echoes-of-the-past', 'keyboard-lovers', 'easy rsa', 'calc', 'interview', 'slow-down', 'sprint-admin', 'baby pwn', 'sprint-user'], 'challenge_category': ['crypto', 'pwn', 'misc', 'OSINT', 'OSINT', 'misc', 'misc', 'web', 'web', 'crypto', 'web', 'misc', 'web', 'web', 'pwn', 'web'], 'challenge_points': ['482', '466', '247', '156', '376', '419', '232', '376', '295', '50', '50', '50', '50', '50', '50', '50'], 'solve_time': ['2025-03-22T23:47:48.383553Z', '2025-03-22T23:16:53.910192Z', '2025-03-22T20:59:45.678713Z', '2025-03-22T19:21:15.305613Z', '2025-03-22T18:49:37.515857Z', '2025-03-22T17:12:56.185458Z', '2025-03-22T13:28:02.918961Z', '2025-03-22T05:43:32.123169Z', '2025-03-21T21:44:31.725910Z', '2025-03-21T20:31:44.081770Z', '2025-03-21T19:51:34.036364Z', '2025-03-21T19:38:05.552438Z', '2025-03-21T19:36:56.794624Z', '2025-03-21T19:25:40.891009Z', '2025-03-21T19:16:40.478706Z', '2025-03-21T19:10:36.872669Z']}"
slight_smile,3085,"{'challenge_name': ['breadcrumbs-256', 'cat detector', 'go-go-power-rangers', 'Lost password', 'keyboard-lovers', 'uncertain', 'sprint-user', 'slow-down', 'baby-vm', 'calc', 'hard programming', 'baby pwn', 'easy rsa'], 'challenge_category': ['OSINT', 'rev', 'rev', 'crypto', 'web', 'rev', 'web', 'web', 'rev', 'web', 'misc', 'pwn', 'crypto'], 'challenge_points': ['156', '472', '482', '482', '295', '264', '50', '50', '437', '50', '247', '50', '50'], 'solve_time': ['2025-03-23T07:26:29.733148Z', '2025-03-23T07:17:00.748574Z', '2025-03-23T04:37:06.405518Z', '2025-03-22T19:09:14.832208Z', '2025-03-22T07:48:25.769569Z', '2025-03-22T06:15:47.728241Z', '2025-03-22T06:13:52.672884Z', '2025-03-22T06:02:09.050012Z', '2025-03-22T05:22:39.877310Z', '2025-03-22T05:04:52.354200Z', '2025-03-22T04:39:51.247456Z', '2025-03-22T02:13:11.072425Z', '2025-03-22T01:34:09.517401Z']}"
0-Day Aarhus,2775,"{'challenge_name': ['Web-Misc-Crypto', 'uncertain', 'breadcrumbs-256', 'breadcrumbs-1', 'Lost password', 'easy rsa', 'hard programming', 'baby pwn', 'sprint-admin', 'sprint-user', 'slow-down'], 'challenge_category': ['web-misc-crypto', 'rev', 'OSINT', 'OSINT', 'crypto', 'crypto', 'misc', 'pwn', 'web', 'web', 'web'], 'challenge_points': ['1000', '264', '156', '376', '482', '50', '247', '50', '50', '50', '50'], 'solve_time': ['2025-03-23T15:27:35.659866Z', '2025-03-22T21:59:11.465938Z', '2025-03-22T20:53:32.859374Z', '2025-03-22T20:11:25.603328Z', '2025-03-22T16:41:40.259956Z', '2025-03-22T12:13:46.281387Z', '2025-03-22T00:20:34.713081Z', '2025-03-21T20:50:59.110344Z', '2025-03-21T20:18:42.723575Z', '2025-03-21T19:58:56.265499Z', '2025-03-21T19:38:37.389569Z']}"
LutaNaRyj,2530,"{'challenge_name': ['hard programming', 'pong-student-club', 'breadcrumbs-256', 'echoes-of-the-past', 'breadcrumbs-1', 'baby pwn', 'easy rsa', 'keyboard-lovers', 'uncertain', 'calc', 'sprint-admin', 'sprint-user', 'interview', 'slow-down'], 'challenge_category': ['misc', 'web', 'OSINT', 'web', 'OSINT', 'pwn', 'crypto', 'web', 'rev', 'web', 'web', 'web', 'misc', 'web'], 'challenge_points': ['247', '466', '156', '376', '376', '50', '50', '295', '264', '50', '50', '50', '50', '50'], 'solve_time': ['2025-03-23T15:45:27.747810Z', '2025-03-23T15:02:53.772363Z', '2025-03-23T14:58:05.357607Z', '2025-03-22T21:48:39.278729Z', '2025-03-22T19:45:03.824184Z', '2025-03-22T15:07:06.634400Z', '2025-03-22T15:06:47.329040Z', '2025-03-22T14:52:26.989896Z', '2025-03-22T13:56:19.069351Z', '2025-03-22T12:00:59.514183Z', '2025-03-21T23:16:56.320382Z', '2025-03-21T23:04:23.413916Z', '2025-03-21T22:40:55.183594Z', '2025-03-21T19:32:41.575273Z']}"
DUCKERZ,2451,"{'challenge_name': ['keyboard-lovers', 'ones-and-zeroes', 'easy rsa', 'talking-printer', 'breadcrumbs-1', 'breadcrumbs-256', 'hard programming', 'interview', 'baby pwn', 'echoes-of-the-past', 'calc', 'sprint-user', 'sprint-admin', 'slow-down'], 'challenge_category': ['web', 'misc', 'crypto', 'misc', 'OSINT', 'OSINT', 'misc', 'misc', 'pwn', 'web', 'web', 'web', 'web', 'web'], 'challenge_points': ['295', '419', '50', '232', '376', '156', '247', '50', '50', '376', '50', '50', '50', '50'], 'solve_time': ['2025-03-23T18:46:03.433061Z', '2025-03-23T17:12:01.288291Z', '2025-03-23T07:14:53.448890Z', '2025-03-23T03:07:07.958129Z', '2025-03-22T23:41:58.429342Z', '2025-03-22T23:18:30.910328Z', '2025-03-22T09:32:21.458952Z', '2025-03-22T08:55:36.958444Z', '2025-03-22T01:53:31.397821Z', '2025-03-21T21:25:09.558791Z', '2025-03-21T20:36:56.142043Z', '2025-03-21T20:19:35.635395Z', '2025-03-21T20:19:24.729587Z', '2025-03-21T19:59:45.653935Z']}"
PUTrequest_,2392,"{'challenge_name': ['tick-tock', 'hard programming', 'cat detector', 'baby-vm', 'breadcrumbs-256', 'uncertain', 'calc', 'easy rsa', 'baby pwn', 'sprint-admin', 'interview', 'sprint-user', 'slow-down'], 'challenge_category': ['pwn', 'misc', 'rev', 'rev', 'OSINT', 'rev', 'web', 'crypto', 'pwn', 'web', 'misc', 'web', 'web'], 'challenge_points': ['466', '247', '472', '437', '156', '264', '50', '50', '50', '50', '50', '50', '50'], 'solve_time': ['2025-03-23T13:26:42.305485Z', '2025-03-22T23:56:29.542526Z', '2025-03-22T22:33:52.082722Z', '2025-03-22T20:29:09.013419Z', '2025-03-22T18:44:17.758284Z', '2025-03-22T13:11:44.199531Z', '2025-03-22T00:12:20.884587Z', '2025-03-22T00:02:34.006293Z', '2025-03-21T22:27:12.957860Z', '2025-03-21T22:11:02.078084Z', '2025-03-21T21:45:54.893165Z', '2025-03-21T21:03:48.201778Z', '2025-03-21T19:30:19.545538Z']}"
IITBreachers,2195,"{'challenge_name': ['sprint-user', 'hard programming', 'ones-and-zeroes', 'cat detector', 'easy rsa', 'breadcrumbs-256', 'baby-vm', 'uncertain', 'baby pwn', 'slow-down'], 'challenge_category': ['web', 'misc', 'misc', 'rev', 'crypto', 'OSINT', 'rev', 'rev', 'pwn', 'web'], 'challenge_points': ['50', '247', '419', '472', '50', '156', '437', '264', '50', '50'], 'solve_time': ['2025-03-23T11:26:55.031979Z', '2025-03-23T09:02:33.173330Z', '2025-03-23T07:17:07.038777Z', '2025-03-23T06:38:32.606943Z', '2025-03-23T05:26:30.145684Z', '2025-03-23T04:37:45.474792Z', '2025-03-22T16:53:10.684027Z', '2025-03-22T10:15:42.003178Z', '2025-03-22T09:05:33.246630Z', '2025-03-22T06:23:13.648690Z']}"
Ćwierćgłówki,2160,"{'challenge_name': ['breadcrumbs-1', 'breadcrumbs-256', 'hard programming', 'easy rsa', 'cat detector', 'uncertain', 'keyboard-lovers', 'interview', 'sprint-admin', 'calc', 'baby pwn', 'sprint-user', 'slow-down'], 'challenge_category': ['OSINT', 'OSINT', 'misc', 'crypto', 'rev', 'rev', 'web', 'misc', 'web', 'web', 'pwn', 'web', 'web'], 'challenge_points': ['376', '156', '247', '50', '472', '264', '295', '50', '50', '50', '50', '50', '50'], 'solve_time': ['2025-03-22T20:28:57.317754Z', '2025-03-22T20:21:02.429258Z', '2025-03-22T13:24:15.393935Z', '2025-03-22T11:15:12.826657Z', '2025-03-22T04:34:18.170520Z', '2025-03-21T22:33:10.424428Z', '2025-03-21T22:03:06.386408Z', '2025-03-21T22:02:31.221034Z', '2025-03-21T21:47:17.789011Z', '2025-03-21T21:00:02.561483Z', '2025-03-21T20:46:19.802106Z', '2025-03-21T19:57:15.120576Z', '2025-03-21T19:44:45.476127Z']}"
1753c,2060,"{'challenge_name': ['pong-student-club', 'breadcrumbs-1', 'keyboard-lovers', 'echoes-of-the-past', 'hard programming', 'sprint-admin', 'calc', 'slow-down', 'interview', 'baby pwn', 'sprint-user'], 'challenge_category': ['web', 'OSINT', 'web', 'web', 'misc', 'web', 'web', 'web', 'misc', 'pwn', 'web'], 'challenge_points': ['466', '376', '295', '376', '247', '50', '50', '50', '50', '50', '50'], 'solve_time': ['2025-03-23T15:56:45.659209Z', '2025-03-23T10:25:07.926177Z', '2025-03-22T18:08:04.696736Z', '2025-03-22T16:27:15.544688Z', '2025-03-22T15:34:25.383505Z', '2025-03-22T14:06:55.654645Z', '2025-03-22T13:15:46.072599Z', '2025-03-22T12:11:09.977559Z', '2025-03-22T10:46:41.941455Z', '2025-03-22T10:34:23.698240Z', '2025-03-22T09:48:48.363722Z']}"
