name,points,challenge
Pwnissa,1566,"{'challenge_name': ['Simple Chat', 'Flag Detector', 'Feedback Form', 'Floppy', 'he protecc', 'My First Field', 'Sanity Check'], 'challenge_category': ['web', 'misc', 'intro', 'misc', 'pwn', 'misc', 'intro'], 'challenge_points': ['280', '428', '10', '280', '468', '50', '50'], 'solve_time': ['2025-06-22T11:59:49.160274Z', '2025-06-22T11:43:24.341423Z', '2025-06-22T11:15:15.127845Z', '2025-06-21T22:06:18.691361Z', '2025-06-21T15:34:19.278750Z', '2025-06-21T14:52:25.815462Z', '2025-06-21T12:12:52.151769Z']}"
Ulisse,1296,"{'challenge_name': ['Flag Detector', 'waveformcipher', 'Floppy', 'My First Field', 'Sanity Check'], 'challenge_category': ['misc', 'misc', 'misc', 'misc', 'intro'], 'challenge_points': ['428', '488', '280', '50', '50'], 'solve_time': ['2025-06-22T00:30:44.193567Z', '2025-06-21T23:02:56.944533Z', '2025-06-21T16:57:28.211661Z', '2025-06-21T14:38:02.809309Z', '2025-06-21T14:07:28.717827Z']}"
twosheep,1290,"{'challenge_name': ['Sanity Check', 'PolentaGPT', 'aeronaut', 'Flag Detector'], 'challenge_category': ['intro', 'web', 'web', 'misc'], 'challenge_points': ['50', '440', '372', '428'], 'solve_time': ['2025-06-21T22:37:38.220581Z', '2025-06-21T21:39:46.373169Z', '2025-06-21T19:58:23.845838Z', '2025-06-21T17:53:33.698028Z']}"
hakjerzy,1192,"{'challenge_name': ['My First Field', 'aeronaut', 'PHPisLovePHPisLife3', 'Sanity Check', 'Floppy'], 'challenge_category': ['misc', 'web', 'web', 'intro', 'misc'], 'challenge_points': ['50', '372', '440', '50', '280'], 'solve_time': ['2025-06-22T09:53:25.579674Z', '2025-06-22T07:15:40.985682Z', '2025-06-21T22:56:19.280446Z', '2025-06-21T19:02:22.547227Z', '2025-06-21T16:29:46.154999Z']}"
deathwing,1098,"{'challenge_name': ['Feedback Form', 'Simple Chat', 'Floppy', 'My First Field', 'Flag Detector', 'Sanity Check'], 'challenge_category': ['intro', 'web', 'misc', 'misc', 'misc', 'intro'], 'challenge_points': ['10', '280', '280', '50', '428', '50'], 'solve_time': ['2025-06-22T11:57:10.960189Z', '2025-06-22T10:27:38.838848Z', '2025-06-22T08:20:26.894278Z', '2025-06-22T08:11:07.695586Z', '2025-06-22T06:47:26.084335Z', '2025-06-22T04:39:20.057508Z']}"
HCS,1092,"{'challenge_name': ['aeronaut', 'PolentaGPT', 'Simple Chat'], 'challenge_category': ['web', 'web', 'web'], 'challenge_points': ['372', '440', '280'], 'solve_time': ['2025-06-21T18:58:50.760194Z', '2025-06-21T16:43:38.410430Z', '2025-06-21T13:38:49.300834Z']}"
aaaaa,1056,"{'challenge_name': ['Poisoned Bank', 'he protecc', 'My First Field', 'Sanity Check'], 'challenge_category': ['pwn', 'pwn', 'misc', 'intro'], 'challenge_points': ['488', '468', '50', '50'], 'solve_time': ['2025-06-22T07:59:51.628816Z', '2025-06-22T05:53:14.573841Z', '2025-06-21T16:03:34.683246Z', '2025-06-21T14:29:29.561442Z']}"
MadrHacks,1046,"{'challenge_name': ['matrix_madness', 'Deep Fried', 'Sanity Check'], 'challenge_category': ['crypto', 'rev', 'intro'], 'challenge_points': ['496', '500', '50'], 'solve_time': ['2025-06-22T00:59:17.093204Z', '2025-06-21T17:39:42.739123Z', '2025-06-21T12:02:47.537147Z']}"
biggerbomber,986,"{'challenge_name': ['matrix_madness', 'Sanity Check', 'PHPisLovePHPisLife3'], 'challenge_category': ['crypto', 'intro', 'web'], 'challenge_points': ['496', '50', '440'], 'solve_time': ['2025-06-22T00:37:40.557909Z', '2025-06-21T12:27:52.857247Z', '2025-06-21T12:24:57.444181Z']}"
Pwncetta e Pecorino,968,"{'challenge_name': ['Feedback Form', 'he protecc', 'PHPisLovePHPisLife3', 'Sanity Check'], 'challenge_category': ['intro', 'pwn', 'web', 'intro'], 'challenge_points': ['10', '468', '440', '50'], 'solve_time': ['2025-06-22T10:21:08.462127Z', '2025-06-21T16:34:01.989340Z', '2025-06-21T12:28:48.058975Z', '2025-06-21T12:10:42.231430Z']}"
Nc{Cat},886,"{'challenge_name': ['Feedback Form', 'Simple Chat', 'My First Field', 'Cornfest', 'Sanity Check'], 'challenge_category': ['intro', 'web', 'misc', 'misc', 'intro'], 'challenge_points': ['10', '280', '50', '496', '50'], 'solve_time': ['2025-06-22T11:17:21.904403Z', '2025-06-22T11:15:40.296864Z', '2025-06-21T18:45:55.029698Z', '2025-06-21T18:44:46.493175Z', '2025-06-21T18:40:24.172197Z']}"
m0nkeysgobrrrrrr,868,"{'challenge_name': ['Poisoned Bank', 'My First Field', 'Floppy', 'Sanity Check'], 'challenge_category': ['pwn', 'misc', 'misc', 'intro'], 'challenge_points': ['488', '50', '280', '50'], 'solve_time': ['2025-06-22T05:12:28.619781Z', '2025-06-21T18:06:05.125924Z', '2025-06-21T12:56:10.508078Z', '2025-06-21T12:02:20.626459Z']}"
fibonhack,770,"{'challenge_name': ['PHPisLovePHPisLife3', 'Simple Chat', 'Sanity Check'], 'challenge_category': ['web', 'web', 'intro'], 'challenge_points': ['440', '280', '50'], 'solve_time': ['2025-06-22T00:12:00.859915Z', '2025-06-21T20:08:54.497913Z', '2025-06-21T12:02:38.134426Z']}"
How I Met Your Malware,758,"{'challenge_name': ['Simple Chat', 'Flag Detector', 'Sanity Check'], 'challenge_category': ['web', 'misc', 'intro'], 'challenge_points': ['280', '428', '50'], 'solve_time': ['2025-06-21T19:52:50.096824Z', '2025-06-21T14:09:15.982281Z', '2025-06-21T13:03:55.597101Z']}"
bhackari,752,"{'challenge_name': ['aeronaut', 'Floppy', 'My First Field', 'Sanity Check'], 'challenge_category': ['web', 'misc', 'misc', 'intro'], 'challenge_points': ['372', '280', '50', '50'], 'solve_time': ['2025-06-21T21:05:45.551234Z', '2025-06-21T14:39:54.361920Z', '2025-06-21T13:36:17.483589Z', '2025-06-21T12:04:29.422028Z']}"
HjärterHex,752,"{'challenge_name': ['aeronaut', 'My First Field', 'Floppy', 'Sanity Check'], 'challenge_category': ['web', 'misc', 'misc', 'intro'], 'challenge_points': ['372', '50', '280', '50'], 'solve_time': ['2025-06-21T21:57:51.412986Z', '2025-06-21T14:44:58.621546Z', '2025-06-21T14:30:00.022943Z', '2025-06-21T12:02:07.002175Z']}"
samuelsiv,752,"{'challenge_name': ['aeronaut', 'My First Field', 'Floppy', 'Sanity Check'], 'challenge_category': ['web', 'misc', 'misc', 'intro'], 'challenge_points': ['372', '50', '280', '50'], 'solve_time': ['2025-06-22T00:56:11.571313Z', '2025-06-21T13:51:05.545342Z', '2025-06-21T12:38:18.794442Z', '2025-06-21T12:01:50.229989Z']}"
jsusyehfhaowu,712,"{'challenge_name': ['Feedback Form', 'aeronaut', 'Sanity Check', 'Simple Chat'], 'challenge_category': ['intro', 'web', 'intro', 'web'], 'challenge_points': ['10', '372', '50', '280'], 'solve_time': ['2025-06-22T10:23:41.012114Z', '2025-06-22T09:26:57.553617Z', '2025-06-21T17:32:43.152098Z', '2025-06-21T15:11:56.066265Z']}"
aetruria,670,"{'challenge_name': ['Feedback Form', 'Floppy', 'My First Field', 'Simple Chat', 'Sanity Check'], 'challenge_category': ['intro', 'misc', 'misc', 'web', 'intro'], 'challenge_points': ['10', '280', '50', '280', '50'], 'solve_time': ['2025-06-22T11:50:55.011319Z', '2025-06-21T23:39:50.183224Z', '2025-06-21T14:37:58.491799Z', '2025-06-21T14:19:43.001640Z', '2025-06-21T12:06:04.637346Z']}"
J8N,596,"{'challenge_name': ['Cornfest', 'My First Field', 'Sanity Check'], 'challenge_category': ['misc', 'misc', 'intro'], 'challenge_points': ['496', '50', '50'], 'solve_time': ['2025-06-22T01:07:10.617136Z', '2025-06-21T23:18:02.950847Z', '2025-06-21T22:52:01.502011Z']}"
danadevito,588,"{'challenge_name': ['waveformcipher', 'My First Field', 'Sanity Check'], 'challenge_category': ['misc', 'misc', 'intro'], 'challenge_points': ['488', '50', '50'], 'solve_time': ['2025-06-22T01:57:40.926786Z', '2025-06-21T17:35:43.396460Z', '2025-06-21T16:59:04.943478Z']}"
муйхар хүчний мөлжлөг,538,"{'challenge_name': ['waveformcipher', 'Sanity Check'], 'challenge_category': ['misc', 'intro'], 'challenge_points': ['488', '50'], 'solve_time': ['2025-06-22T09:09:35.133739Z', '2025-06-21T13:44:19.930672Z']}"
NoENV,538,"{'challenge_name': ['Feedback Form', 'Sanity Check', 'Flag Detector', 'My First Field'], 'challenge_category': ['intro', 'intro', 'misc', 'misc'], 'challenge_points': ['10', '50', '428', '50'], 'solve_time': ['2025-06-22T10:30:55.475824Z', '2025-06-22T10:29:02.249327Z', '2025-06-21T20:23:18.334218Z', '2025-06-21T18:51:42.348033Z']}"
World Wide Flags,518,"{'challenge_name': ['he protecc', 'Sanity Check'], 'challenge_category': ['pwn', 'intro'], 'challenge_points': ['468', '50'], 'solve_time': ['2025-06-21T14:07:02.059211Z', '2025-06-21T12:08:17.857671Z']}"
sophea,518,"{'challenge_name': ['Sanity Check', 'he protecc'], 'challenge_category': ['intro', 'pwn'], 'challenge_points': ['50', '468'], 'solve_time': ['2025-06-22T01:59:50.146785Z', '2025-06-21T18:45:48.444876Z']}"
krkrdkdk,518,"{'challenge_name': ['he protecc', 'Sanity Check'], 'challenge_category': ['pwn', 'intro'], 'challenge_points': ['468', '50'], 'solve_time': ['2025-06-22T11:04:23.851759Z', '2025-06-22T03:39:47.709452Z']}"
ylz,488,"{'challenge_name': ['Poisoned Bank'], 'challenge_category': ['pwn'], 'challenge_points': ['488'], 'solve_time': ['2025-06-22T06:27:04.152123Z']}"
CRUx BPHC,472,"{'challenge_name': ['My First Field', 'aeronaut', 'Sanity Check'], 'challenge_category': ['misc', 'web', 'intro'], 'challenge_points': ['50', '372', '50'], 'solve_time': ['2025-06-21T18:56:32.640945Z', '2025-06-21T16:42:20.561772Z', '2025-06-21T16:15:35.222116Z']}"
d3xter,440,"{'challenge_name': ['PolentaGPT'], 'challenge_category': ['web'], 'challenge_points': ['440'], 'solve_time': ['2025-06-21T16:31:04.417919Z']}"
70M470_50UP,390,"{'challenge_name': ['Feedback Form', 'Floppy', 'My First Field', 'Sanity Check'], 'challenge_category': ['intro', 'misc', 'misc', 'intro'], 'challenge_points': ['10', '280', '50', '50'], 'solve_time': ['2025-06-22T10:21:23.119275Z', '2025-06-22T10:05:07.197393Z', '2025-06-22T09:02:36.680156Z', '2025-06-21T12:06:59.396234Z']}"
HoleInBottle,390,"{'challenge_name': ['Feedback Form', 'Floppy', 'My First Field', 'Sanity Check'], 'challenge_category': ['intro', 'misc', 'misc', 'intro'], 'challenge_points': ['10', '280', '50', '50'], 'solve_time': ['2025-06-22T11:04:30.630175Z', '2025-06-22T11:00:51.872191Z', '2025-06-22T04:25:45.068342Z', '2025-06-21T18:07:21.385160Z']}"
ThePlayer372,380,"{'challenge_name': ['My First Field', 'Simple Chat', 'Sanity Check'], 'challenge_category': ['misc', 'web', 'intro'], 'challenge_points': ['50', '280', '50'], 'solve_time': ['2025-06-21T16:53:21.672487Z', '2025-06-21T16:43:42.818480Z', '2025-06-21T12:27:24.670477Z']}"
ncodeks,380,"{'challenge_name': ['Floppy', 'My First Field', 'Sanity Check'], 'challenge_category': ['misc', 'misc', 'intro'], 'challenge_points': ['280', '50', '50'], 'solve_time': ['2025-06-21T19:06:36.800365Z', '2025-06-21T15:43:32.224377Z', '2025-06-21T12:13:09.526048Z']}"
LilNick0101,380,"{'challenge_name': ['Simple Chat', 'My First Field', 'Sanity Check'], 'challenge_category': ['web', 'misc', 'intro'], 'challenge_points': ['280', '50', '50'], 'solve_time': ['2025-06-21T19:39:43.203902Z', '2025-06-21T15:14:18.821175Z', '2025-06-21T12:02:55.785215Z']}"
GalSafe,380,"{'challenge_name': ['My First Field', 'Floppy', 'Sanity Check'], 'challenge_category': ['misc', 'misc', 'intro'], 'challenge_points': ['50', '280', '50'], 'solve_time': ['2025-06-22T07:26:55.859224Z', '2025-06-22T00:14:59.600833Z', '2025-06-21T12:07:27.639077Z']}"
lkyc137,330,"{'challenge_name': ['Floppy', 'Sanity Check'], 'challenge_category': ['misc', 'intro'], 'challenge_points': ['280', '50'], 'solve_time': ['2025-06-21T21:58:29.597863Z', '2025-06-21T19:39:41.019326Z']}"
khalil,280,"{'challenge_name': ['Simple Chat'], 'challenge_category': ['web'], 'challenge_points': ['280'], 'solve_time': ['2025-06-21T17:48:11.659385Z']}"
Lysithea,280,"{'challenge_name': ['Simple Chat'], 'challenge_category': ['web'], 'challenge_points': ['280'], 'solve_time': ['2025-06-22T08:21:26.191591Z']}"
mrkr@bs,110,"{'challenge_name': ['Feedback Form', 'My First Field', 'Sanity Check'], 'challenge_category': ['intro', 'misc', 'intro'], 'challenge_points': ['10', '50', '50'], 'solve_time': ['2025-06-22T10:09:30.946332Z', '2025-06-22T04:51:05.963545Z', '2025-06-21T12:24:05.505795Z']}"
unkn3wnDB,110,"{'challenge_name': ['Feedback Form', 'My First Field', 'Sanity Check'], 'challenge_category': ['intro', 'misc', 'intro'], 'challenge_points': ['10', '50', '50'], 'solve_time': ['2025-06-22T10:25:07.879936Z', '2025-06-22T08:59:19.570101Z', '2025-06-21T12:02:26.862430Z']}"
lethalz,100,"{'challenge_name': ['My First Field', 'Sanity Check'], 'challenge_category': ['misc', 'intro'], 'challenge_points': ['50', '50'], 'solve_time': ['2025-06-21T13:11:28.057661Z', '2025-06-21T12:01:59.057935Z']}"
0x5W1TCH,100,"{'challenge_name': ['My First Field', 'Sanity Check'], 'challenge_category': ['misc', 'intro'], 'challenge_points': ['50', '50'], 'solve_time': ['2025-06-21T14:04:27.150753Z', '2025-06-21T12:04:35.547812Z']}"
SSM,100,"{'challenge_name': ['My First Field', 'Sanity Check'], 'challenge_category': ['misc', 'intro'], 'challenge_points': ['50', '50'], 'solve_time': ['2025-06-21T14:36:24.114604Z', '2025-06-21T12:03:20.093975Z']}"
Unemployed Nerds,100,"{'challenge_name': ['My First Field', 'Sanity Check'], 'challenge_category': ['misc', 'intro'], 'challenge_points': ['50', '50'], 'solve_time': ['2025-06-21T14:58:58.124470Z', '2025-06-21T14:14:20.421422Z']}"
hellokitty,100,"{'challenge_name': ['My First Field', 'Sanity Check'], 'challenge_category': ['misc', 'intro'], 'challenge_points': ['50', '50'], 'solve_time': ['2025-06-21T16:08:23.059094Z', '2025-06-21T14:47:17.835832Z']}"
Flag Sharing,100,"{'challenge_name': ['My First Field', 'Sanity Check'], 'challenge_category': ['misc', 'intro'], 'challenge_points': ['50', '50'], 'solve_time': ['2025-06-21T16:12:51.110373Z', '2025-06-21T13:37:43.254810Z']}"
NY4MUK,100,"{'challenge_name': ['My First Field', 'Sanity Check'], 'challenge_category': ['misc', 'intro'], 'challenge_points': ['50', '50'], 'solve_time': ['2025-06-21T17:19:30.533406Z', '2025-06-21T16:10:58.822534Z']}"
nhl4000,100,"{'challenge_name': ['My First Field', 'Sanity Check'], 'challenge_category': ['misc', 'intro'], 'challenge_points': ['50', '50'], 'solve_time': ['2025-06-21T17:50:05.888449Z', '2025-06-21T15:40:16.193758Z']}"
Chaoyue,100,"{'challenge_name': ['My First Field', 'Sanity Check'], 'challenge_category': ['misc', 'intro'], 'challenge_points': ['50', '50'], 'solve_time': ['2025-06-21T19:47:12.754221Z', '2025-06-21T18:27:46.276823Z']}"
Cy3er_Gh0st,100,"{'challenge_name': ['My First Field', 'Sanity Check'], 'challenge_category': ['misc', 'intro'], 'challenge_points': ['50', '50'], 'solve_time': ['2025-06-21T20:32:06.091784Z', '2025-06-21T12:02:10.060948Z']}"
HxN0n3,100,"{'challenge_name': ['Sanity Check', 'My First Field'], 'challenge_category': ['intro', 'misc'], 'challenge_points': ['50', '50'], 'solve_time': ['2025-06-21T20:40:41.468473Z', '2025-06-21T20:29:59.742418Z']}"
